name,team,position,source,fetched_at,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,goals_against_average,saves,shutouts
Connor McDavid,EDM,C,CBS,2020-12-27 13:05:54.472169,35.63,57.94,-0.39,18.15,177.9,,,,,,
Leon Draisaitl,EDM,C,CBS,2020-12-27 13:05:54.472169,38.43,54.84,0.13,16.61,163.88,,,,,,
Mika Zibanejad,NYR,C,CBS,2020-12-27 13:05:54.472169,43.12,32.82,8.82,14.55,198.87,,,,,,
Nathan MacKinnon,COL,C,CBS,2020-12-27 13:05:54.472169,31.1,49.68,3.11,16.39,286.68,,,,,,
Evgeni Malkin,PIT,C,CBS,2020-12-27 13:05:54.472169,24.28,46.62,-0.69,14.14,187.8,,,,,,
Auston Matthews,TOR,C,CBS,2020-12-27 13:05:54.472169,38.5,27.92,9.74,12.8,246.95,,,,,,
Sidney Crosby,PIT,C,CBS,2020-12-27 13:05:54.472169,23.43,41.36,-5.04,13.62,157.96,,,,,,
J.T. Miller,VAN,LW,CBS,2020-12-27 13:05:54.472169,22.46,35.3,4.23,10.17,110.63,,,,,,
Steven Stamkos,TB,LW,CBS,2020-12-27 13:05:54.472169,25.94,33.0,0.21,11.21,174.91,,,,,,
Jack Eichel,BUF,C,CBS,2020-12-27 13:05:54.472169,26.19,29.85,0.83,12.07,165.04,,,,,,
Sebastian Aho,CAR,C,CBS,2020-12-27 13:05:54.472169,31.01,26.3,-3.34,8.59,174.52,,,,,,
Elias Pettersson,VAN,C,CBS,2020-12-27 13:05:54.472169,24.01,31.73,5.57,10.48,114.4,,,,,,
Ryan Nugent-Hopkins,EDM,LW,CBS,2020-12-27 13:05:54.472169,21.23,36.83,-1.13,10.79,152.83,,,,,,
Brayden Point,TB,C,CBS,2020-12-27 13:05:54.472169,25.4,34.26,0.21,7.45,139.37,,,,,,
John Tavares,TOR,C,CBS,2020-12-27 13:05:54.472169,24.06,28.85,-1.46,10.9,192.34,,,,,,
Nazem Kadri,COL,C,CBS,2020-12-27 13:05:54.472169,23.57,20.88,3.11,9.03,178.42,,,,,,
Patrice Bergeron,BOS,C,CBS,2020-12-27 13:05:54.472169,25.52,23.84,3.9,7.73,205.32,,,,,,
Mark Scheifele,WPG,C,CBS,2020-12-27 13:05:54.472169,22.0,30.33,-4.28,8.85,124.26,,,,,,
Ryan Strome,NYR,C,CBS,2020-12-27 13:05:54.472169,14.97,32.81,11.94,7.4,119.52,,,,,,
Jonathan Toews,CHI,C,CBS,2020-12-27 13:05:54.472169,17.28,33.2,1.8,6.71,121.59,,,,,,
Ryan O'Reilly,STL,C,CBS,2020-12-27 13:05:54.472169,12.01,40.62,0.2,8.65,105.58,,,,,,
Brayden Schenn,STL,C,CBS,2020-12-27 13:05:54.472169,20.27,26.12,-3.72,9.04,120.58,,,,,,
Sean Couturier,PHI,C,CBS,2020-12-27 13:05:54.472169,16.82,30.15,2.14,6.24,142.62,,,,,,
Mathew Barzal,NYI,C,CBS,2020-12-27 13:05:54.472169,14.5,32.88,-1.83,7.72,140.12,,,,,,
Anze Kopitar,LA,C,CBS,2020-12-27 13:05:54.472169,16.22,29.43,-0.92,10.03,120.45,,,,,,
Brock Nelson,NYI,C,CBS,2020-12-27 13:05:54.472169,22.06,22.53,-0.9,4.09,145.78,,,,,,
Sean Monahan,CGY,C,CBS,2020-12-27 13:05:54.472169,18.81,25.15,-2.54,8.75,131.5,,,,,,
Aleksander Barkov,FLA,C,CBS,2020-12-27 13:05:54.472169,14.79,29.94,-1.75,8.79,143.37,,,,,,
Jean-Gabriel Pageau,NYI,C,CBS,2020-12-27 13:05:54.472169,22.87,12.9,7.07,4.96,118.77,,,,,,
Bo Horvat,VAN,C,CBS,2020-12-27 13:05:54.472169,21.78,21.83,-3.15,5.55,126.57,,,,,,
Claude Giroux,PHI,LW,CBS,2020-12-27 13:05:54.472169,15.13,25.66,-0.92,9.57,158.33,,,,,,
Evgeny Kuznetsov,WSH,C,CBS,2020-12-27 13:05:54.472169,16.4,26.32,-5.55,8.15,124.74,,,,,,
David Krejci,BOS,C,CBS,2020-12-27 13:05:54.472169,13.67,29.3,-0.55,7.55,88.56,,,,,,
Pierre-Luc Dubois,CLB,C,CBS,2020-12-27 13:05:54.472169,15.28,25.42,-0.3,5.94,133.85,,,,,,
Nicklas Backstrom,WSH,C,CBS,2020-12-27 13:05:54.472169,9.72,34.33,-3.92,10.1,125.88,,,,,,
Blake Coleman,TB,LW,CBS,2020-12-27 13:05:54.472169,19.41,13.25,13.65,1.22,165.56,,,,,,
Mikael Backlund,CGY,C,CBS,2020-12-27 13:05:54.472169,15.67,23.58,3.14,5.0,128.0,,,,,,
William Karlsson,VGS,C,CBS,2020-12-27 13:05:54.472169,14.16,27.92,2.05,4.4,164.74,,,,,,
Nico Hischier,NJ,C,CBS,2020-12-27 13:05:54.472169,15.34,22.84,5.9,6.13,112.89,,,,,,
Shane Bowers,COL,C,CBS,2020-12-27 13:05:54.472169,14.87,21.32,10.25,5.13,111.69,,,,,,
Logan Couture,SJ,C,CBS,2020-12-27 13:05:54.472169,15.95,21.21,-0.28,5.42,136.7,,,,,,
Tomas Hertl,SJ,C,CBS,2020-12-27 13:05:54.472169,16.79,20.69,-0.28,4.76,135.53,,,,,,
Kevin Hayes,PHI,C,CBS,2020-12-27 13:05:54.472169,18.56,17.77,-0.92,2.92,146.92,,,,,,
Joe Pavelski,DAL,C,CBS,2020-12-27 13:05:54.472169,17.32,13.75,4.28,4.93,103.18,,,,,,
Sam Reinhart,BUF,RW,CBS,2020-12-27 13:05:54.472169,15.92,20.25,-3.05,5.42,103.27,,,,,,
Dylan Strome,CHI,C,CBS,2020-12-27 13:05:54.472169,12.55,23.38,1.76,5.18,78.39,,,,,,
Patrick Brown,VGS,C,CBS,2020-12-27 13:05:54.472169,18.07,14.81,4.67,3.52,122.35,,,,,,
Joe Thornton,TOR,C,CBS,2020-12-27 13:05:54.472169,7.7,23.42,11.98,5.38,63.4,,,,,,
Dylan Larkin,DET,C,CBS,2020-12-27 13:05:54.472169,13.58,22.65,-9.53,5.09,134.26,,,,,,
Ryan Getzlaf,ANA,C,CBS,2020-12-27 13:05:54.472169,10.34,22.64,-1.89,5.48,105.36,,,,,,
Adam Henrique,ANA,C,CBS,2020-12-27 13:05:54.472169,18.44,13.36,-1.89,5.27,119.19,,,,,,
Steven Lorentz,CAR,C,CBS,2020-12-27 13:05:54.472169,12.98,18.6,3.34,4.48,103.62,,,,,,
Marcus Johansson,MIN,C,CBS,2020-12-27 13:05:54.472169,9.65,22.2,5.4,3.83,82.27,,,,,,
Phillip Danault,MON,C,CBS,2020-12-27 13:05:54.472169,9.08,24.22,4.0,1.98,112.7,,,,,,
Philippe Maillet,WSH,C,CBS,2020-12-27 13:05:54.472169,12.63,18.1,1.59,4.36,103.75,,,,,,
Nick Bonino,MIN,C,CBS,2020-12-27 13:05:54.472169,15.63,13.7,10.25,0.51,89.76,,,,,,
Robert Thomas,STL,C,CBS,2020-12-27 13:05:54.472169,9.03,27.03,-3.05,3.33,78.5,,,,,,
Scott Laughton,PHI,LW,CBS,2020-12-27 13:05:54.472169,15.26,16.43,-0.92,0.0,84.38,,,,,,
Vincent Trocheck,CAR,C,CBS,2020-12-27 13:05:54.472169,8.72,21.67,-0.28,3.14,121.79,,,,,,
Matt Duchene,NSH,C,CBS,2020-12-27 13:05:54.472169,10.08,21.34,-3.01,5.98,126.42,,,,,,
Nick Suzuki,MON,C,CBS,2020-12-27 13:05:54.472169,11.03,20.85,-5.13,7.91,120.0,,,,,,
Adam Gaudette,VAN,C,CBS,2020-12-27 13:05:54.472169,11.41,15.68,1.92,4.85,55.33,,,,,,
Pavel Zacha,NJ,C,CBS,2020-12-27 13:05:54.472169,7.71,22.13,5.9,4.01,78.8,,,,,,
Nick Schmaltz,ARI,RW,CBS,2020-12-27 13:05:54.472169,8.77,25.29,-6.69,5.65,71.09,,,,,,
Max Domi,CLB,C,CBS,2020-12-27 13:05:54.472169,10.43,19.7,-3.45,6.06,139.07,,,,,,
Eric Staal,BUF,C,CBS,2020-12-27 13:05:54.472169,12.88,19.96,-9.5,5.67,88.18,,,,,,
Christian Dvorak,ARI,C,CBS,2020-12-27 13:05:54.472169,14.27,15.75,-0.57,4.45,95.26,,,,,,
Morgan Geekie,CAR,C,CBS,2020-12-27 13:05:54.472169,14.7,14.82,3.13,2.24,74.27,,,,,,
Martin Necas,CAR,RW,CBS,2020-12-27 13:05:54.472169,13.48,17.19,-3.8,4.12,81.12,,,,,,
Kyle Turris,EDM,C,CBS,2020-12-27 13:05:54.472169,8.5,20.63,0.8,5.6,77.18,,,,,,
Anthony Cirelli,TB,C,CBS,2020-12-27 13:05:54.472169,12.44,18.08,0.21,2.06,96.7,,,,,,
Ryan Johansen,NSH,C,CBS,2020-12-27 13:05:54.472169,10.31,17.53,-3.4,4.81,90.06,,,,,,
Andrew Shaw,CHI,RW,CBS,2020-12-27 13:05:54.472169,7.16,16.05,2.9,3.93,86.95,,,,,,
Charlie Coyle,BOS,C,CBS,2020-12-27 13:05:54.472169,13.43,15.6,-0.55,2.21,130.78,,,,,,
Sheldon Dries,COL,C,CBS,2020-12-27 13:05:54.472169,10.86,13.61,9.2,3.24,95.88,,,,,,
Lars Eller,WSH,C,CBS,2020-12-27 13:05:54.472169,11.53,17.27,-5.55,2.84,129.38,,,,,,
Yanni Gourde,TB,RW,CBS,2020-12-27 13:05:54.472169,10.44,15.58,0.21,2.75,101.71,,,,,,
Brian Pinho,WSH,C,CBS,2020-12-27 13:05:54.472169,11.86,14.85,0.37,3.54,97.54,,,,,,
Luke Johnson,MIN,C,CBS,2020-12-27 13:05:54.472169,11.71,14.21,3.17,3.1,96.77,,,,,,
J.T. Compher,COL,C,CBS,2020-12-27 13:05:54.472169,10.25,17.34,3.11,2.5,102.61,,,,,,
Jeff Carter,LA,C,CBS,2020-12-27 13:05:54.472169,15.65,8.82,-0.92,3.12,191.29,,,,,,
Joel L'Esperance,DAL,C,CBS,2020-12-27 13:05:54.472169,12.8,13.52,-0.43,3.24,88.21,,,,,,
Jayce Hawryluk,VAN,RW,CBS,2020-12-27 13:05:54.472169,7.79,16.9,10.29,0.0,49.42,,,,,,
Nico Sturm,MIN,C,CBS,2020-12-27 13:05:54.472169,11.1,15.56,3.0,2.41,73.24,,,,,,
Luke Kunin,NSH,C,CBS,2020-12-27 13:05:54.472169,12.78,11.79,-2.6,1.24,122.15,,,,,,
Calle Jarnkrok,NSH,LW,CBS,2020-12-27 13:05:54.472169,11.57,13.56,0.28,4.03,126.71,,,,,,
Paul Stastny,WPG,C,CBS,2020-12-27 13:05:54.472169,11.62,15.89,-7.88,4.67,123.86,,,,,,
Gabriel Vilardi,LA,C,CBS,2020-12-27 13:05:54.472169,12.02,15.8,-7.43,4.23,108.94,,,,,,
Jared McCann,PIT,LW,CBS,2020-12-27 13:05:54.472169,11.08,16.64,-5.04,3.34,125.69,,,,,,
Jason Spezza,TOR,RW,CBS,2020-12-27 13:05:54.472169,8.45,14.49,3.48,4.01,74.12,,,,,,
Jack Studnicka,BOS,C,CBS,2020-12-27 13:05:54.472169,9.0,13.32,5.9,2.36,116.49,,,,,,
Derek Ryan,CGY,C,CBS,2020-12-27 13:05:54.472169,8.18,17.14,6.42,1.7,77.31,,,,,,
Joel Eriksson Ek,MIN,C,CBS,2020-12-27 13:05:54.472169,7.8,17.86,5.23,0.5,96.87,,,,,,
Adrian Kempe,LA,LW,CBS,2020-12-27 13:05:54.472169,8.65,14.97,-0.92,4.52,134.01,,,,,,
Artem Anisimov,OTT,C,CBS,2020-12-27 13:05:54.472169,16.3,5.4,-0.78,4.47,91.83,,,,,,
Chris Tierney,OTT,C,CBS,2020-12-27 13:05:54.472169,8.05,19.17,-0.78,1.11,73.89,,,,,,
Ryan Dzingel,CAR,LW,CBS,2020-12-27 13:05:54.472169,6.99,17.04,-2.43,4.67,88.51,,,,,,
Tyler Johnson,TB,RW,CBS,2020-12-27 13:05:54.472169,10.93,12.05,0.21,3.75,103.85,,,,,,
Sam Bennett,CGY,LW,CBS,2020-12-27 13:05:54.472169,12.96,6.15,1.41,2.6,103.05,,,,,,
Alexander Kerfoot,TOR,C,CBS,2020-12-27 13:05:54.472169,7.53,17.76,-1.14,1.49,78.01,,,,,,
Artemi Panarin,NYR,LW,CBS,2020-12-27 13:05:54.472169,27.68,50.49,13.67,11.32,164.76,,,,,,
Patrick Kane,CHI,RW,CBS,2020-12-27 13:05:54.472169,26.29,41.87,5.34,13.98,192.92,,,,,,
Nikita Kucherov,TB,RW,CBS,2020-12-27 13:05:54.472169,25.12,45.34,0.21,12.92,189.61,,,,,,
Brad Marchand,BOS,LW,CBS,2020-12-27 13:05:54.472169,24.45,42.88,0.14,10.29,156.4,,,,,,
David Pastrnak,BOS,RW,CBS,2020-12-27 13:05:54.472169,30.98,31.51,-0.5,12.34,202.03,,,,,,
Mikko Rantanen,COL,RW,CBS,2020-12-27 13:05:54.472169,25.4,33.76,3.11,12.65,177.65,,,,,,
Mitchell Marner,TOR,RW,CBS,2020-12-27 13:05:54.472169,14.59,48.28,0.45,14.16,155.07,,,,,,
Max Pacioretty,VGS,LW,CBS,2020-12-27 13:05:54.472169,26.31,26.52,3.18,9.18,300.12,,,,,,
Alex Ovechkin,WSH,LW,CBS,2020-12-27 13:05:54.472169,37.34,14.39,-5.55,9.25,268.43,,,,,,
Bryan Rust,PIT,RW,CBS,2020-12-27 13:05:54.472169,26.45,27.0,-3.54,9.91,153.92,,,,,,
Matthew Tkachuk,CGY,RW,CBS,2020-12-27 13:05:54.472169,20.09,32.54,0.13,8.54,147.99,,,,,,
Mark Stone,VGS,RW,CBS,2020-12-27 13:05:54.472169,18.98,37.01,0.81,9.12,173.65,,,,,,
Jake Guentzel,PIT,LW,CBS,2020-12-27 13:05:54.472169,25.99,29.14,-5.04,8.64,189.6,,,,,,
Gabriel Landeskog,COL,LW,CBS,2020-12-27 13:05:54.472169,20.19,28.46,3.11,10.39,168.15,,,,,,
Kyle Connor,WPG,LW,CBS,2020-12-27 13:05:54.472169,28.16,24.18,-2.28,7.61,177.64,,,,,,
David Perron,STL,RW,CBS,2020-12-27 13:05:54.472169,21.77,28.29,-3.65,11.8,147.51,,,,,,
Jonathan Huberdeau,FLA,LW,CBS,2020-12-27 13:05:54.472169,16.4,36.24,0.92,11.49,120.03,,,,,,
Andrei Svechnikov,CAR,LW,CBS,2020-12-27 13:05:54.472169,21.54,28.92,-3.8,9.88,159.87,,,,,,
Kevin Fiala,MIN,RW,CBS,2020-12-27 13:05:54.472169,21.78,25.26,3.53,8.91,166.11,,,,,,
William Nylander,TOR,LW,CBS,2020-12-27 13:05:54.472169,25.77,24.09,-0.11,8.92,164.62,,,,,,
Elias Lindholm,CGY,RW,CBS,2020-12-27 13:05:54.472169,23.51,23.58,-0.41,9.59,130.11,,,,,,
Johnny Gaudreau,CGY,LW,CBS,2020-12-27 13:05:54.472169,17.23,33.8,-0.76,10.0,164.37,,,,,,
Kyle Palmieri,NJ,RW,CBS,2020-12-27 13:05:54.472169,23.81,18.51,5.9,8.8,126.5,,,,,,
Chris Kreider,NYR,LW,CBS,2020-12-27 13:05:54.472169,23.03,19.21,7.37,6.79,133.65,,,,,,
Evander Kane,SJ,LW,CBS,2020-12-27 13:05:54.472169,21.39,16.08,-0.28,8.8,186.94,,,,,,
Andre Burakovsky,COL,RW,CBS,2020-12-27 13:05:54.472169,20.87,26.64,3.11,6.66,107.65,,,,,,
Teuvo Teravainen,CAR,RW,CBS,2020-12-27 13:05:54.472169,13.61,35.54,0.71,9.45,154.78,,,,,,
Patrik Laine,WPG,RW,CBS,2020-12-27 13:05:54.472169,22.51,24.74,-2.4,7.09,177.75,,,,,,
Travis Konecny,PHI,RW,CBS,2020-12-27 13:05:54.472169,16.82,28.88,-0.92,9.34,117.84,,,,,,
Blake Wheeler,WPG,RW,CBS,2020-12-27 13:05:54.472169,16.31,29.55,-3.77,9.72,129.91,,,,,,
Dominik Kubalik,CHI,LW,CBS,2020-12-27 13:05:54.472169,26.32,14.93,3.31,7.1,116.42,,,,,,
Zach Hyman,TOR,LW,CBS,2020-12-27 13:05:54.472169,23.14,18.27,8.26,3.84,125.67,,,,,,
Jaden Schwartz,STL,LW,CBS,2020-12-27 13:05:54.472169,19.52,26.12,-3.72,8.26,143.77,,,,,,
Brandon Saad,COL,RW,CBS,2020-12-27 13:05:54.472169,24.55,15.26,16.55,0.75,129.24,,,,,,
Reilly Smith,VGS,RW,CBS,2020-12-27 13:05:54.472169,21.22,24.14,2.04,4.15,169.88,,,,,,
Jakub Voracek,PHI,RW,CBS,2020-12-27 13:05:54.472169,11.17,32.08,1.14,8.74,111.79,,,,,,
Taylor Hall,BUF,LW,CBS,2020-12-27 13:05:54.472169,13.16,28.57,0.83,8.66,159.77,,,,,,
Brock Boeser,VAN,RW,CBS,2020-12-27 13:05:54.472169,16.16,26.71,0.88,7.23,131.37,,,,,,
Jason Zucker,PIT,LW,CBS,2020-12-27 13:05:54.472169,20.35,19.2,6.05,5.87,108.9,,,,,,
Nikita Gusev,NJ,RW,CBS,2020-12-27 13:05:54.472169,12.74,29.49,5.9,7.94,126.0,,,,,,
Tyler Ennis,EDM,LW,CBS,2020-12-27 13:05:54.472169,16.29,21.39,11.77,5.94,113.98,,,,,,
Tomas Tatar,MON,LW,CBS,2020-12-27 13:05:54.472169,15.78,25.85,-2.72,7.42,132.13,,,,,,
Nikolaj Ehlers,WPG,LW,CBS,2020-12-27 13:05:54.472169,20.01,22.16,2.2,2.54,152.39,,,,,,
Oliver Bjorkstrand,CLB,RW,CBS,2020-12-27 13:05:54.472169,23.29,15.32,3.62,5.17,188.71,,,,,,
Filip Forsberg,NSH,LW,CBS,2020-12-27 13:05:54.472169,18.04,20.57,0.33,7.56,195.82,,,,,,
Kailer Yamamoto,EDM,RW,CBS,2020-12-27 13:05:54.472169,17.3,26.56,-0.55,1.89,81.34,,,,,,
Victor Olofsson,BUF,LW,CBS,2020-12-27 13:05:54.472169,18.02,19.85,0.83,10.04,115.16,,,,,,
Zach Parise,MIN,LW,CBS,2020-12-27 13:05:54.472169,19.76,18.43,0.84,7.9,128.69,,,,,,
Anthony Duclair,FLA,LW,CBS,2020-12-27 13:05:54.472169,21.23,15.9,4.57,5.52,142.29,,,,,,
Jonathan Marchessault,VGS,LW,CBS,2020-12-27 13:05:54.472169,17.52,22.35,-1.29,6.04,241.97,,,,,,
Pavel Buchnevich,NYR,RW,CBS,2020-12-27 13:05:54.472169,14.7,24.45,7.35,4.44,118.81,,,,,,
Alex DeBrincat,CHI,LW,CBS,2020-12-27 13:05:54.472169,15.02,22.38,0.38,9.5,148.95,,,,,,
Jordan Eberle,NYI,RW,CBS,2020-12-27 13:05:54.472169,15.34,23.01,2.1,7.52,133.62,,,,,,
Nick Ritchie,BOS,LW,CBS,2020-12-27 13:05:54.472169,12.93,14.99,12.89,2.69,86.97,,,,,,
James Neal,EDM,LW,CBS,2020-12-27 13:05:54.472169,22.8,12.51,-1.67,8.06,112.68,,,,,,
Tyler Toffoli,MON,RW,CBS,2020-12-27 13:05:54.472169,19.72,15.74,4.0,5.6,170.64,,,,,,
Alex Killorn,TB,RW,CBS,2020-12-27 13:05:54.472169,19.54,16.02,0.21,6.03,106.3,,,,,,
Jamie Benn,DAL,LW,CBS,2020-12-27 13:05:54.472169,16.84,18.1,-0.79,5.29,125.67,,,,,,
T.J. Oshie,WSH,RW,CBS,2020-12-27 13:05:54.472169,20.49,16.22,-4.65,6.33,117.14,,,,,,
Anthony Mantha,DET,RW,CBS,2020-12-27 13:05:54.472169,17.47,22.12,-9.53,5.23,139.58,,,,,,
Alexander Radulov,DAL,RW,CBS,2020-12-27 13:05:54.472169,15.8,18.63,-0.14,5.33,108.08,,,,,,
Cam Atkinson,CLB,RW,CBS,2020-12-27 13:05:54.472169,16.1,20.7,1.74,6.33,188.27,,,,,,
Tom Wilson,WSH,RW,CBS,2020-12-27 13:05:54.472169,15.8,17.99,-5.55,3.79,131.24,,,,,,
Roope Hintz,DAL,LW,CBS,2020-12-27 13:05:54.472169,15.6,17.89,3.88,6.81,105.6,,,,,,
Brady Tkachuk,OTT,LW,CBS,2020-12-27 13:05:54.472169,15.37,16.22,-0.78,3.88,187.63,,,,,,
Timo Meier,SJ,LW,CBS,2020-12-27 13:05:54.472169,17.17,18.81,-0.28,4.32,155.19,,,,,,
Anders Lee,NYI,LW,CBS,2020-12-27 13:05:54.472169,17.02,16.44,-0.28,4.99,167.77,,,,,,
Brendan Gallagher,MON,RW,CBS,2020-12-27 13:05:54.472169,16.98,18.45,-0.66,4.18,227.7,,,,,,
Clayton Keller,ARI,RW,CBS,2020-12-27 13:05:54.472169,14.99,21.47,-4.88,6.46,131.65,,,,,,
Ondrej Palat,TB,LW,CBS,2020-12-27 13:05:54.472169,17.25,17.31,0.21,4.47,128.79,,,,,,
Jakub Vrana,WSH,LW,CBS,2020-12-27 13:05:54.472169,17.66,19.05,-5.38,5.43,158.29,,,,,,
Seth Griffith,EDM,C,CBS,2020-12-27 13:05:54.472169,14.64,18.35,4.15,4.36,104.38,,,,,,
Josh Bailey,NYI,RW,CBS,2020-12-27 13:05:54.472169,10.72,27.4,-4.94,6.81,79.17,,,,,,
Zack Kassian,EDM,RW,CBS,2020-12-27 13:05:54.472169,14.88,18.25,1.44,0.0,88.49,,,,,,
Rickard Rakell,ANA,LW,CBS,2020-12-27 13:05:54.472169,12.51,22.92,-1.89,6.2,145.65,,,,,,
Oskar Lindblom,PHI,LW,CBS,2020-12-27 13:05:54.472169,20.45,10.89,2.31,4.62,125.8,,,,,,
Wayne Simmonds,TOR,RW,CBS,2020-12-27 13:05:54.472169,8.8,17.78,11.98,5.76,100.27,,,,,,
