team,age,name,position_yahoo,rollup,vorp,vorn,round,pick,rank,arbitrage,target
TB,26.0,Andrei Vasilevskiy,G,98.3,23.7,15.7,1.0,7.0,1.0,6.0,True
Col,25.0,Nathan MacKinnon,C,63.0,15.9,5.6,1.0,2.0,2.0,0.0,True
Nsh,30.0,Roman Josi,D,53.2,13.1,3.8,3.0,30.0,3.0,27.0,True
Edm,23.0,Connor McDavid,C,59.0,11.9,1.5,1.0,1.0,4.0,-3.0,True
Was,35.0,Alex Ovechkin,LW,57.2,11.6,5.9,1.0,5.0,5.0,0.0,False
Col,29.0,Philipp Grubauer,G,86.1,11.5,6.4,6.0,70.0,6.0,64.0,True
Was,30.0,John Carlson,D,51.6,11.5,-1.6,2.0,21.0,7.0,14.0,False
Tor,23.0,Auston Matthews,C,58.4,11.3,1.0,1.0,6.0,8.0,-2.0,True
Bos,33.0,Tuukka Rask,G,85.7,11.1,10.8,3.0,31.0,9.0,22.0,False
NYR,27.0,Mika Zibanejad,C,57.5,10.3,6.1,2.0,19.5,10.0,9.5,True
TB,30.0,Victor Hedman,D,50.5,10.3,-2.7,2.0,14.0,11.0,3.0,False
Edm,25.0,Leon Draisaitl,"C,LW",55.5,10.0,4.3,1.0,3.0,12.0,-9.0,True
NYR,,Igor Shesterkin,G,84.1,9.4,-2.0,5.0,49.0,13.0,36.0,False
Car,27.0,Dougie Hamilton,D,49.5,9.3,2.7,4.0,46.0,14.0,32.0,True
Phi,,Carter Hart,G,83.2,8.5,8.2,3.0,33.0,15.0,18.0,False
VGK,29.0,Robin Lehner,G,83.0,8.4,8.1,3.0,34.0,16.0,18.0,True
Wpg,27.0,Connor Hellebuyck,G,82.6,8.0,-3.1,2.0,16.0,17.0,-1.0,False
TB,30.0,Steven Stamkos,"LW,RW",51.3,7.7,4.5,2.0,23.0,18.0,5.0,True
VGK,32.0,Max Pacioretty,LW,52.3,6.7,6.0,4.0,39.0,19.0,20.0,False
VGK,30.0,Alex Pietrangelo,D,46.7,6.6,1.0,5.0,55.0,20.0,35.0,True
Col,24.0,Mikko Rantanen,RW,49.2,5.6,2.4,2.0,13.0,21.0,-8.0,True
Pit,33.0,Kris Letang,D,45.8,5.6,5.2,6.0,67.0,22.0,45.0,False
Van,34.0,Alexander Edler,D,45.8,5.6,10.7,22.0,262.0,23.0,239.0,False
Tor,31.0,Frederik Andersen,G,80.2,5.6,-5.9,5.0,53.0,24.0,29.0,False
NYR,29.0,Artemi Panarin,LW,51.0,5.5,-0.2,1.0,4.0,25.0,-21.0,False
Chi,32.0,Patrick Kane,RW,48.9,5.4,-2.3,1.0,10.0,26.0,-16.0,False
VGK,28.0,Mark Stone,RW,48.9,5.3,9.9,4.0,36.0,27.0,9.0,True
Dal,34.0,Anton Khudobin,G,79.7,5.1,14.0,7.0,74.0,28.0,46.0,False
Pit,34.0,Evgeni Malkin,C,51.4,4.3,3.1,3.0,26.0,29.0,-3.0,False
SJ,35.0,Brent Burns,D,44.4,4.3,-1.4,5.0,54.0,30.0,24.0,False
Cgy,37.0,Mark Giordano,D,43.5,3.4,1.2,10.0,115.0,31.0,84.0,False
Bos,32.0,Brad Marchand,LW,48.8,3.2,1.0,2.0,22.0,32.0,-10.0,False
Pit,26.0,Jake Guentzel,"LW,RW",46.8,3.2,-2.1,3.0,25.0,33.0,-8.0,False
Wpg,25.0,Neal Pionk,D,43.1,2.9,2.9,8.0,84.0,34.0,50.0,True
Bos,24.0,David Pastrnak,RW,46.2,2.7,7.3,4.0,46.0,35.0,11.0,True
Pit,33.0,Sidney Crosby,C,49.8,2.6,-1.6,2.0,12.0,36.0,-24.0,False
Buf,24.0,Jack Eichel,C,49.7,2.6,-7.7,1.0,9.0,37.0,-28.0,False
Nsh,30.0,Ryan Ellis,D,42.7,2.5,0.3,10.0,119.0,38.0,81.0,True
Van,,J.T. Miller,"LW,RW",45.9,2.3,7.0,4.0,43.0,39.0,4.0,False
StL,29.0,Torey Krug,D,42.5,2.3,1.9,6.0,65.0,40.0,25.0,True
Car,,Andrei Svechnikov,"LW,RW",45.7,2.2,-1.0,2.0,17.0,41.0,-24.0,False
NYI,26.0,Ryan Pulock,D,42.4,2.2,0.1,11.0,120.0,42.0,78.0,True
Col,28.0,Gabriel Landeskog,"C,LW",47.7,2.2,-4.6,3.0,35.0,43.0,-8.0,False
Edm,25.0,Darnell Nurse,D,42.3,2.1,0.0,12.0,142.0,44.0,98.0,True
Col,25.0,Ryan Graves,D,42.2,2.1,2.6,13.0,150.0,45.0,105.0,True
TB,27.0,Nikita Kucherov,RW,45.3,1.8,-6.0,1.0,8.0,46.0,-38.0,False
Mon,35.0,Shea Weber,D,41.8,1.7,1.6,8.0,91.0,47.0,44.0,False
VGK,25.0,Shea Theodore,D,41.7,1.6,1.5,8.0,89.0,48.0,41.0,True
Pit,28.0,Bryan Rust,"LW,RW",45.1,1.5,9.4,15.0,175.5,49.0,126.5,True
Bos,35.0,Patrice Bergeron,C,48.3,1.1,11.2,4.0,41.0,50.0,-9.0,False
Wpg,34.0,Blake Wheeler,"C,RW",44.3,0.8,5.4,4.0,37.0,51.0,-14.0,False
Ott,,Brady Tkachuk,LW,46.3,0.7,3.7,5.0,51.0,52.0,-1.0,False
NYR,26.0,Jacob Trouba,D,40.7,0.5,-1.6,12.0,139.5,53.0,86.5,False
StL,27.0,Colton Parayko,D,40.6,0.4,-1.6,12.0,135.0,54.0,81.0,False
Cls,26.0,Seth Jones,D,40.6,0.4,-2.5,7.0,81.5,55.0,26.5,False
Tor,26.0,Morgan Rielly,D,40.5,0.4,-5.3,5.0,58.0,56.0,2.0,False
StL,27.0,Jordan Binnington,G,75.0,0.3,-9.2,4.0,40.0,57.0,-17.0,False
Cgy,23.0,Matthew Tkachuk,"LW,RW",43.7,0.1,-5.2,3.0,32.0,58.0,-26.0,False
Mon,33.0,Jeff Petry,D,40.2,0.1,-3.3,9.0,105.0,59.0,46.0,False
Fla,,Patric Hornqvist,RW,43.4,-0.2,4.0,13.0,151.0,60.0,91.0,False
Phi,23.0,Ivan Provorov,D,39.8,-0.4,-0.4,8.0,94.0,61.0,33.0,False
Bos,23.0,Charlie McAvoy,D,39.8,-0.4,-3.8,9.0,107.0,62.0,45.0,False
Tor,31.0,Jake Muzzin,D,39.6,-0.5,7.5,14.0,166.0,63.0,103.0,False
Col,,Cale Makar,D,39.5,-0.6,-10.0,3.0,29.0,64.0,-35.0,False
SJ,30.0,Erik Karlsson,D,39.4,-0.8,-3.7,7.0,81.5,65.0,16.5,False
Cls,,Zach Werenski,D,39.3,-0.8,-3.8,7.0,75.0,66.0,9.0,False
NYR,,Tony DeAngelo,D,39.2,-1.0,-4.3,9.0,102.0,67.0,35.0,False
Tor,30.0,John Tavares,C,46.1,-1.1,-2.2,3.0,28.0,68.0,-40.0,False
Car,23.0,Sebastian Aho,C,45.9,-1.2,-11.5,1.0,11.0,69.0,-58.0,False
VGK,33.0,Alec Martinez,D,38.9,-1.3,-6.9,21.0,246.5,70.0,176.5,False
LA,31.0,Drew Doughty,D,38.8,-1.3,-3.4,12.0,136.0,71.0,65.0,False
Dal,,Miro Heiskanen,D,38.5,-1.7,-2.1,6.0,71.5,72.0,-0.5,False
Van,,Elias Pettersson,C,45.2,-1.9,-6.2,2.0,15.0,73.0,-58.0,False
Ari,30.0,Darcy Kuemper,G,72.7,-2.0,-7.1,6.0,64.0,74.0,-10.0,False
VGK,30.0,Jonathan Marchessault,"C,LW",43.3,-2.3,4.0,9.0,99.0,75.0,24.0,False
SJ,29.0,Evander Kane,LW,43.2,-2.3,2.2,7.0,76.0,76.0,0.0,False
TB,22.0,Mikhail Sergachev,D,37.7,-2.4,-4.5,11.0,125.0,77.0,48.0,False
Buf,26.0,Rasmus Ristolainen,D,37.7,-2.5,-4.6,11.0,131.5,78.0,53.5,False
StL,,Mike Hoffman,"LW,RW",41.1,-2.5,3.4,8.0,86.0,79.0,7.0,False
Nsh,25.0,Juuse Saros,G,71.9,-2.8,1.4,10.0,117.0,80.0,37.0,False
Buf,29.0,Taylor Hall,LW,42.7,-2.9,0.1,5.0,52.0,81.0,-29.0,False
Ott,23.0,Thomas Chabot,D,37.3,-2.9,-5.1,10.0,109.0,82.0,27.0,False
Cgy,26.0,Elias Lindholm,"C,RW",40.6,-2.9,0.9,6.0,66.0,83.0,-17.0,False
Was,26.0,Tom Wilson,RW,40.6,-3.0,2.9,8.0,92.0,84.0,8.0,False
Edm,27.0,Ryan Nugent-Hopkins,"C,LW",42.6,-3.0,-0.7,6.0,69.0,85.0,-16.0,False
NYI,32.0,Semyon Varlamov,G,71.7,-3.0,16.2,14.0,165.0,86.0,79.0,False
Tor,23.0,Mitchell Marner,RW,40.4,-3.1,-6.3,2.0,18.0,87.0,-69.0,False
NYR,29.0,Chris Kreider,LW,42.4,-3.2,13.2,12.0,139.5,88.0,51.5,False
Cls,25.0,Oliver Bjorkstrand,"LW,RW",40.2,-3.4,12.9,21.0,250.5,89.0,161.5,False
Car,,Teuvo Teravainen,"LW,RW",40.1,-3.4,1.2,4.0,44.0,90.0,-46.0,False
Dal,26.0,Esa Lindell,D,36.6,-3.6,-9.2,21.0,242.5,91.0,151.5,False
TB,24.0,Brayden Point,C,43.4,-3.8,-8.0,2.0,19.5,92.0,-72.5,False
NJ,29.0,Kyle Palmieri,RW,39.7,-3.8,1.1,10.0,108.0,93.0,15.0,False
Mon,28.0,Brendan Gallagher,RW,39.7,-3.8,-1.4,7.0,73.0,94.0,-21.0,False
StL,29.0,Brayden Schenn,"C,RW",39.7,-3.9,-1.4,7.0,79.0,95.0,-16.0,False
Van,31.0,Braden Holtby,G,70.7,-4.0,-1.2,9.0,101.0,96.0,5.0,False
NYR,,Adam Fox,D,36.0,-4.2,-6.3,10.0,114.0,97.0,17.0,False
Cls,26.0,Joonas Korpisalo,G,70.5,-4.2,,11.0,124.0,98.0,26.0,False
TB,29.0,Blake Coleman,"LW,RW",39.3,-4.2,-5.7,14.0,157.0,99.0,58.0,False
Edm,29.0,Tyson Barrie,D,35.9,-4.3,-7.6,9.0,98.0,100.0,-2.0,False
Min,31.0,Jared Spurgeon,D,35.7,-4.4,5.6,16.0,183.0,101.0,82.0,False
Cgy,,Jacob Markstrom,G,70.2,-4.5,4.5,7.0,77.5,102.0,-24.5,False
Cgy,27.0,Johnny Gaudreau,"LW,RW",38.9,-4.6,-1.7,5.0,48.0,103.0,-55.0,False
Dal,28.0,John Klingberg,D,35.5,-4.7,-4.8,8.0,95.0,104.0,-9.0,False
StL,32.0,David Perron,"LW,RW",38.6,-5.0,0.3,11.0,127.0,105.0,22.0,False
Nsh,26.0,Filip Forsberg,LW,40.6,-5.0,-2.7,6.0,68.0,106.0,-38.0,False
Ari,22.0,Jakob Chychrun,D,35.1,-5.0,,23.0,264.5,107.0,157.5,False
NYR,27.0,Ryan Strome,"C,RW",38.3,-5.3,-5.1,12.0,141.0,108.0,33.0,False
Fla,27.0,Jonathan Huberdeau,LW,40.3,-5.3,-12.0,3.0,24.0,109.0,-85.0,False
SJ,24.0,Timo Meier,"LW,RW",38.2,-5.4,0.5,8.0,88.0,110.0,-22.0,False
Min,35.0,Ryan Suter,D,34.6,-5.5,-7.6,12.0,143.0,111.0,32.0,False
TB,29.0,Ondrej Palat,LW,39.9,-5.7,10.9,15.0,178.0,112.0,66.0,False
Was,,Ilya Samsonov,G,68.9,-5.7,-15.2,4.0,46.0,113.0,-67.0,False
Mon,26.0,Josh Anderson,RW,37.7,-5.9,5.0,19.0,222.5,114.0,108.5,False
Min,24.0,Kevin Fiala,"LW,RW",37.7,-5.9,-2.1,9.0,96.0,115.0,-19.0,False
NYI,30.0,Anders Lee,LW,39.6,-6.0,0.3,9.0,106.0,116.0,-10.0,False
Mon,33.0,Carey Price,G,68.6,-6.1,-17.6,5.0,50.0,117.0,-67.0,False
VGK,29.0,Reilly Smith,RW,37.3,-6.2,-2.0,13.0,154.0,118.0,36.0,False
Edm,,Kailer Yamamoto,RW,37.3,-6.2,-2.4,9.0,103.0,119.0,-16.0,False
Dal,31.0,Jamie Benn,"C,LW",39.3,-6.3,0.7,10.0,118.0,120.0,-2.0,False
Tor,24.0,William Nylander,"LW,RW",37.2,-6.3,-3.8,7.0,83.0,121.0,-38.0,False
Fla,25.0,Aleksander Barkov,C,40.8,-6.3,3.7,4.0,38.0,122.0,-84.0,False
Chi,25.0,Dominik Kubalik,"LW,RW",37.2,-6.3,-1.1,11.0,130.0,123.0,7.0,False
Wpg,24.0,Kyle Connor,LW,39.2,-6.3,-4.0,6.0,63.0,124.0,-61.0,False
Bos,26.0,Matt Grzelcyk,D,33.8,-6.4,-5.1,20.0,236.5,125.0,111.5,False
Phi,23.0,Travis Konecny,RW,37.1,-6.5,-0.6,8.0,85.0,126.0,-41.0,False
Wpg,,Josh Morrissey,D,33.7,-6.5,,23.0,270.5,127.0,143.5,False
Fla,24.0,Aaron Ekblad,D,33.5,-6.6,-8.7,11.0,131.5,128.0,3.5,False
Cls,33.0,Nick Foligno,"LW,RW",36.9,-6.6,1.2,23.0,270.5,129.0,141.5,False
Wpg,27.0,Mark Scheifele,C,40.4,-6.7,3.3,4.0,42.0,130.0,-88.0,False
Was,,T.J. Oshie,RW,36.7,-6.8,-2.6,13.0,155.0,131.0,24.0,False
Cls,31.0,Cam Atkinson,RW,36.7,-6.9,-8.4,14.0,167.0,132.0,35.0,False
Mon,30.0,Tomas Tatar,"LW,RW",36.6,-6.9,-8.5,14.0,160.0,133.0,27.0,False
Dal,34.0,Alexander Radulov,"LW,RW",36.6,-6.9,-1.7,11.0,122.0,134.0,-12.0,False
Car,26.0,Jaccob Slavin,D,33.2,-6.9,1.1,14.0,156.0,135.0,21.0,False
LA,36.0,Dustin Brown,RW,36.6,-7.0,0.8,23.0,272.5,136.0,136.5,False
NJ,,P.K. Subban,D,33.2,-7.0,-0.6,19.0,219.0,137.0,82.0,False
Buf,,Rasmus Dahlin,D,33.1,-7.0,-7.1,8.0,87.0,138.0,-51.0,False
Min,33.0,Cam Talbot,G,67.6,-7.1,18.5,19.0,220.0,139.0,81.0,False
Phi,28.0,Sean Couturier,C,39.8,-7.3,0.2,6.0,60.0,140.0,-80.0,False
Chi,37.0,Duncan Keith,D,32.6,-7.6,-1.2,19.0,222.5,141.0,81.5,False
Phi,32.0,Claude Giroux,"C,LW",37.9,-7.7,-5.3,6.0,62.0,142.0,-80.0,False
Col,30.0,Nazem Kadri,C,39.4,-7.7,6.3,13.0,144.0,143.0,1.0,False
Anh,27.0,Rickard Rakell,"LW,RW",35.7,-7.8,,24.0,278.0,144.0,134.0,False
