name,team,position,pick
Connor McDavid,Edm,C,1.7
Nathan MacKinnon,Col,C,2.6
Leon Draisaitl,Edm,"C,LW",3.7
Artemi Panarin,NYR,LW,5.3
Alex Ovechkin,Was,LW,5.6
Auston Matthews,Tor,C,6.8
Andrei Vasilevskiy,TB,G,7.6
Nikita Kucherov,TB,RW,8.1
Jack Eichel,Buf,C,8.5
Patrick Kane,Chi,RW,10.0
Sebastian Aho,Car,C,11.7
Sidney Crosby,Pit,C,13.5
Mikko Rantanen,Col,RW,15.2
Victor Hedman,TB,D,15.5
Elias Pettersson,Van,C,16.7
Connor Hellebuyck,Wpg,G,17.0
Andrei Svechnikov,Car,"LW,RW",17.3
Mitchell Marner,Tor,RW,18.2
Mika Zibanejad,NYR,C,18.4
Brayden Point,TB,C,18.4
John Carlson,Was,D,21.4
Brad Marchand,Bos,LW,23.5
Steven Stamkos,TB,"LW,RW",24.3
Jonathan Huberdeau,Fla,LW,25.8
Jake Guentzel,Pit,"LW,RW",26.6
Evgeni Malkin,Pit,C,28.6
Patrik Laine,Wpg,"LW,RW",29.0
John Tavares,Tor,C,30.6
Cale Makar,Col,D,32.7
Roman Josi,Nsh,D,32.8
Tuukka Rask,Bos,G,33.2
Matthew Tkachuk,Cgy,"LW,RW",33.7
Carter Hart,Phi,G,34.7
Robin Lehner,VGK,G,34.9
Gabriel Landeskog,Col,"C,LW",36.2
Mark Stone,VGK,RW,37.7
Blake Wheeler,Wpg,"C,RW",38.4
Aleksander Barkov,Fla,C,38.6
Max Pacioretty,VGK,LW,39.9
Jordan Binnington,StL,G,41.0
Patrice Bergeron,Bos,C,41.7
Mark Scheifele,Wpg,C,42.4
J.T. Miller,Van,"LW,RW",42.5
Teuvo Teravainen,Car,"LW,RW",42.9
Ilya Samsonov,Was,G,43.7
Dougie Hamilton,Car,D,43.7
David Pastrnak,Bos,RW,43.7
Johnny Gaudreau,Cgy,"LW,RW",47.7
Igor Shesterkin,NYR,G,49.2
Carey Price,Mon,G,49.5
Brady Tkachuk,Ott,LW,50.6
Taylor Hall,Buf,LW,53.5
Frederik Andersen,Tor,G,53.7
Brent Burns,SJ,D,54.5
Alex Pietrangelo,VGK,D,56.3
Quinn Hughes,Van,D,62.1
Ryan O'Reilly,StL,C,63.2
Morgan Rielly,Tor,D,63.6
Evgeny Kuznetsov,Was,C,64.0
Sean Couturier,Phi,C,65.7
Tristan Jarry,Pit,G,66.2
Claude Giroux,Phi,"C,LW",67.8
Kyle Connor,Wpg,LW,68.1
Darcy Kuemper,Ari,G,68.6
Torey Krug,StL,D,70.2
Elias Lindholm,Cgy,"C,RW",70.4
Kris Letang,Pit,D,70.8
Filip Forsberg,Nsh,LW,71.7
Ryan Nugent-Hopkins,Edm,"C,LW",72.7
Philipp Grubauer,Col,G,72.8
Miro Heiskanen,Dal,D,72.9
Brock Boeser,Van,RW,72.9
Brendan Gallagher,Mon,RW,73.8
Anton Khudobin,Dal,G,77.2
Zach Werenski,Cls,D,78.3
Evander Kane,SJ,LW,79.1
Jacob Markstrom,Cgy,G,80.1
Marc-Andre Fleury,VGK,G,80.1
Brayden Schenn,StL,"C,RW",80.5
Mathew Barzal,NYI,C,83.0
Seth Jones,Cls,D,83.2
Erik Karlsson,SJ,D,83.2
William Nylander,Tor,"LW,RW",84.8
Neal Pionk,Wpg,D,85.0
Travis Konecny,Phi,RW,86.5
Mike Hoffman,StL,"LW,RW",87.2
Rasmus Dahlin,Buf,D,88.8
Timo Meier,SJ,"LW,RW",91.4
Shea Theodore,VGK,D,91.7
Petr Mrazek,Car,G,92.4
Shea Weber,Mon,D,93.2
Tom Wilson,Was,RW,94.3
Pierre-Luc Dubois,Cls,C,95.6
Ivan Provorov,Phi,D,98.8
John Klingberg,Dal,D,99.0
Kevin Fiala,Min,"LW,RW",99.8
Alex DeBrincat,Chi,"LW,RW",100.1
Tyson Barrie,Edm,D,100.5
Jonathan Marchessault,VGK,"C,LW",101.5
Pavel Francouz,Col,G,101.6
Braden Holtby,Van,G,102.8
Tony DeAngelo,NYR,D,103.8
Kailer Yamamoto,Edm,RW,107.2
Jakub Vrana,Was,LW,109.7
Jeff Petry,Mon,D,110.3
Anders Lee,NYI,LW,110.8
Charlie McAvoy,Bos,D,111.8
Kyle Palmieri,NJ,RW,114.7
Thomas Chabot,Ott,D,115.0
Elvis Merzlikins,Cls,G,115.2
Nicklas Backstrom,Was,C,115.8
Logan Couture,SJ,C,116.4
Oliver Ekman-Larsson,Ari,D,116.5
Adam Fox,NYR,D,116.6
Mark Giordano,Cgy,D,117.8
Ben Bishop,Dal,G,118.6
Juuse Saros,Nsh,G,119.1
Jamie Benn,Dal,"C,LW",120.1
Ryan Ellis,Nsh,D,122.6
Ryan Pulock,NYI,D,123.6
Keith Yandle,Fla,D,123.9
Alexander Radulov,Dal,"LW,RW",124.3
Sam Reinhart,Buf,"C,RW",125.6
Joonas Korpisalo,Cls,G,125.9
Mikhail Sergachev,TB,D,127.1
Jaroslav Halak,Bos,G,127.4
David Perron,StL,"LW,RW",128.0
Victor Olofsson,Buf,"LW,RW",128.4
Sergei Bobrovsky,Fla,G,128.6
Dominik Kubalik,Chi,"LW,RW",128.9
Rasmus Ristolainen,Buf,D,130.4
Aaron Ekblad,Fla,D,130.4
Dylan Larkin,Det,C,131.4
Alexis Lafreniere,NYR,LW,131.9
Colton Parayko,StL,D,132.9
Drew Doughty,LA,D,133.6
Tomas Hertl,SJ,"C,LW",133.7
Anze Kopitar,LA,C,136.4
Chris Kreider,NYR,LW,136.5
Jacob Trouba,NYR,D,136.5
Ryan Strome,NYR,"C,RW",136.9
Darnell Nurse,Edm,D,137.0
Ryan Suter,Min,D,137.5
Nazem Kadri,Col,C,138.6
Matt Dumba,Min,D,143.1
Sean Monahan,Cgy,C,144.6
Bo Horvat,Van,C,146.0
Kirill Kaprizov,Min,LW,146.4
Jonathan Toews,Chi,C,148.1
Ryan Graves,Col,D,149.4
Patric Hornqvist,Fla,RW,150.1
Matt Duchene,Nsh,"C,RW",150.5
Nate Schmidt,Van,D,150.9
Reilly Smith,VGK,RW,152.3
T.J. Oshie,Was,RW,152.7
Jaccob Slavin,Car,D,153.0
Blake Coleman,TB,"LW,RW",153.1
Jaden Schwartz,StL,LW,153.2
Jack Hughes,NJ,"C,LW",153.6
Tomas Tatar,Mon,"LW,RW",154.1
John Gibson,Anh,G,155.9
Nico Hischier,NJ,C,156.0
Zdeno Chara,Was,D,156.3
Thatcher Demko,Van,G,157.0
Semyon Varlamov,NYI,G,157.5
Jake Muzzin,Tor,D,157.6
Cam Atkinson,Cls,RW,158.0
Viktor Arvidsson,Nsh,"LW,RW",158.5
Kevin Shattenkirk,Anh,D,158.9
Kirby Dach,Chi,C,159.1
Craig Smith,Bos,RW,159.8
Jonathan Quick,LA,G,159.8
Anthony Mantha,Det,"LW,RW",160.0
Bryan Rust,Pit,"LW,RW",160.4
Nikolaj Ehlers,Wpg,"LW,RW",160.4
Vladimir Tarasenko,StL,RW,160.4
Tyler Seguin,Dal,"C,RW",160.4
Ondrej Palat,TB,LW,160.6
Quinton Byfield,LA,C,161.2
Max Domi,Cls,"C,LW",161.3
Pekka Rinne,Nsh,G,161.7
David Rittich,Cgy,G,161.8
Jared Spurgeon,Min,D,161.9
Ryan Reaves,VGK,RW,162.3
Thomas Greiss,Det,G,162.3
Joe Pavelski,Dal,"C,RW",162.5
Linus Ullmark,Buf,G,162.5
Malcolm Subban,Chi,G,162.6
Erik Cernak,TB,D,162.7
Cody Glass,VGK,"C,RW",162.7
Tim Stuetzle,Ott,LW,163.1
Charlie Coyle,Bos,"C,RW",163.2
Filip Hronek,Det,D,163.4
Kaapo Kakko,NYR,RW,163.5
Nicholas Robertson,Tor,LW,163.6
Jake DeBrusk,Bos,"LW,RW",163.6
Jakub Voracek,Phi,RW,163.8
Phil Kessel,Ari,RW,163.8
Jake Allen,Mon,G,163.9
Brandon Saad,Col,"LW,RW",164.3
Nick Suzuki,Mon,"C,RW",165.2
Alex Killorn,TB,"LW,RW",165.2
Kasperi Kapanen,Pit,"LW,RW",165.7
Evgenii Dadonov,Ott,"LW,RW",166.2
T.J. Brodie,Tor,D,166.2
James van Riemsdyk,Phi,LW,166.3
Zach Parise,Min,LW,166.5
John Marino,Pit,D,166.6
Antti Raanta,Ari,G,166.6
Jack Campbell,Tor,G,166.7
David Krejci,Bos,C,166.8
Alex Tuch,VGK,"LW,RW",167.2
Ryan McDonagh,TB,D,167.2
Tyler Bertuzzi,Det,"LW,RW",167.4
Brandon Carlo,Bos,D,167.5
Casey DeSmith,Pit,G,167.6
Chris Driedger,Fla,G,167.7
Dmitry Orlov,Was,D,167.8
P.K. Subban,NJ,D,167.9
Cam Talbot,Min,G,168.2
Jason Zucker,Pit,"LW,RW",168.3
Josh Anderson,Mon,RW,168.5
Duncan Keith,Chi,D,168.5
Calvin Petersen,LA,G,168.9
James Reimer,Car,G,169.1
Kevin Hayes,Phi,C,169.2
Alexander Romanov,Mon,D,169.3
Carter Hutton,Buf,G,169.5
Jean-Gabriel Pageau,NYI,C,169.7
Samuel Girard,Col,D,169.7
Ryan Johansen,Nsh,C,169.9
Jesse Puljujarvi,Edm,RW,169.9
Martin Jones,SJ,G,169.9
Robert Thomas,StL,"C,RW",170.0
Andre Burakovsky,Col,"LW,RW",170.1
Ben Chiarot,Mon,D,170.2
Matt Grzelcyk,Bos,D,170.2
Vincent Trocheck,Car,C,170.3
Dylan Strome,Chi,"C,RW",170.3
Anthony Cirelli,TB,C,170.6
Travis Sanheim,Phi,D,170.6
Roope Hintz,Dal,"C,LW",170.7
Esa Lindell,Dal,D,170.7
Ilya Sorokin,NYI,G,170.8
Mikael Backlund,Cgy,"C,RW",171.1
Mattias Ekholm,Nsh,D,171.3
Alec Martinez,VGK,D,171.3
Mark Borowiecki,Nsh,D,171.4
Tyler Toffoli,Mon,"LW,RW",171.6
Brock Nelson,NYI,C,171.7
Oliver Bjorkstrand,Cls,"LW,RW",171.7
Jonathan Drouin,Mon,"C,LW",172.0
Vince Dunn,StL,D,172.0
Erik Gustafsson,Phi,D,172.1
Devon Toews,Col,D,172.5
Nikita Zadorov,Chi,D,172.6
Josh Bailey,NYI,"LW,RW",172.8
Justin Faulk,StL,D,172.8
Brandon Tanev,Pit,"LW,RW",173.2
Phillip Danault,Mon,C,173.6
William Karlsson,VGK,C,173.8
Alexander Edler,Van,D,173.9
Zach Hyman,Tor,"C,LW",174.0
Jeff Skinner,Buf,LW,174.5
Jakob Chychrun,Ari,D,174.5
Eric Staal,Buf,C,174.6
Mikko Lehtonen,Tor,D,174.7
Corey Crawford,NJ,G,174.8
Paul Stastny,Wpg,C,174.9
Nick Foligno,Cls,"LW,RW",175.1
Josh Morrissey,Wpg,D,175.1
Dustin Brown,LA,RW,175.2
Bowen Byram,Col,D,175.2
Clayton Keller,Ari,"LW,RW",175.4
Matt Murray,Ott,G,176.4
Mikko Koskinen,Edm,G,177.2
MacKenzie Blackwood,NJ,G,178.0
Rickard Rakell,Anh,"LW,RW",179.0
Denis Gurianov,Dal,"LW,RW",179.2
Mike Smith,Edm,G,181.0
Kevin Labanc,SJ,"LW,RW",181.8
Alexandar Georgiev,NYR,G,182.0
Nikita Gusev,NJ,"LW,RW",183.2
Alex Stalock,Min,G,183.6
Devan Dubnyk,SJ,G,184.2
Henrik Lundqvist,Was,G,185.2
