team,age,name,line,ppu,position_yahoo,position,rollup,vorp,yahoo_rank,rp,rp_vorp,rp_arbitrage,round
Buf,25.0,Sam Reinhart,2.0,1.0,"C,RW",RW,35.5,-15.5,170.5,52.0,69.0,-17.0,15.0
Ott,23.0,Thomas Chabot,1.0,1.0,D,D,36.4,-3.7,171.0,36.0,38.5,-2.5,15.0
Pit,28.0,Jason Zucker,2.0,2.0,"LW,RW",RW,40.0,-11.0,172.0,53.0,50.0,3.0,15.0
Pit,28.0,Jason Zucker,2.0,2.0,"LW,RW",LW,40.0,-13.7,172.0,54.0,48.5,5.5,15.0
Min,36.0,Zach Parise,1.0,1.0,LW,LW,38.5,-15.3,172.5,55.0,53.0,2.0,15.0
Dal,28.0,John Klingberg,1.0,1.0,D,D,37.0,-3.1,174.5,37.0,34.0,3.0,15.0
Ari,33.0,Phil Kessel,1.0,1.0,RW,RW,38.2,-12.9,177.5,54.0,57.5,-3.5,15.0
StL,27.0,Colton Parayko,1.0,2.0,D,D,37.8,-2.3,178.0,38.0,31.0,7.0,15.0
Det,25.0,Tyler Bertuzzi,1.0,1.0,"LW,RW",LW,34.4,-19.4,179.0,56.5,71.0,-14.5,15.0
Ari,22.0,Clayton Keller,2.0,1.0,"LW,RW",RW,35.0,-16.1,179.0,55.5,74.0,-18.5,15.0
Det,25.0,Tyler Bertuzzi,1.0,1.0,"LW,RW",RW,34.4,-16.6,179.0,55.5,77.0,-21.5,15.0
Ari,22.0,Clayton Keller,2.0,1.0,"LW,RW",LW,35.0,-18.8,179.0,56.5,69.0,-12.5,15.0
Mon,30.0,Jake Allen,,,G,G,29.5,-32.8,179.5,24.5,43.0,-18.5,15.0
Cgy,31.0,Mikael Backlund,3.0,2.0,"C,RW",C,39.5,-15.5,179.5,47.0,43.0,4.0,15.0
Cgy,31.0,Mikael Backlund,3.0,2.0,"C,RW",RW,39.5,-11.5,179.5,57.0,52.0,5.0,15.0
Edm,32.0,Mikko Koskinen,,,G,G,47.0,-15.3,179.5,24.5,25.0,-0.5,15.0
Col,25.0,Ryan Graves,3.0,,D,D,36.6,-3.4,181.5,39.0,35.0,4.0,16.0
Phi,28.0,Kevin Hayes,2.0,1.0,C,C,37.5,-17.6,181.5,48.0,47.0,1.0,16.0
NYR,26.0,Jacob Trouba,1.0,2.0,D,D,36.3,-3.7,182.0,40.0,38.5,1.5,16.0
Cls,33.0,Nick Foligno,2.0,2.0,"LW,RW",RW,39.3,-11.7,182.5,58.5,53.0,5.5,16.0
Cls,33.0,Nick Foligno,2.0,2.0,"LW,RW",LW,39.3,-14.4,182.5,58.5,50.0,8.5,16.0
TB,31.0,Alex Killorn,2.0,1.0,"LW,RW",RW,40.3,-10.7,182.5,58.5,47.0,11.5,16.0
TB,31.0,Alex Killorn,2.0,1.0,"LW,RW",LW,40.3,-13.4,182.5,58.5,46.5,12.0,16.0
NJ,36.0,Corey Crawford,,,G,G,32.4,-29.9,186.0,26.0,40.5,-14.5,16.0
NJ,,MacKenzie Blackwood,,,G,G,41.8,-20.5,189.0,27.0,28.0,-1.0,16.0
Det,26.0,Anthony Mantha,1.0,1.0,"LW,RW",RW,38.1,-12.9,189.5,60.0,57.5,2.5,16.0
Det,26.0,Anthony Mantha,1.0,1.0,"LW,RW",LW,38.1,-15.6,189.5,60.0,55.0,5.0,16.0
LA,31.0,Drew Doughty,1.0,1.0,D,D,38.6,-1.4,192.5,41.0,24.0,17.0,17.0
Pit,29.0,Brandon Tanev,4.0,,"LW,RW",RW,35.9,-15.1,193.0,61.0,66.0,-5.0,17.0
Pit,29.0,Brandon Tanev,4.0,,"LW,RW",LW,35.9,-17.8,193.0,61.0,66.0,-5.0,17.0
Min,33.0,Cam Talbot,,,G,G,54.7,-7.6,193.0,28.0,19.0,9.0,17.0
NYR,25.0,Pavel Buchnevich,1.0,2.0,RW,RW,38.4,-12.6,195.0,62.0,55.0,7.0,17.0
Ari,23.0,Lawson Crouse,3.0,,LW,,,,195.0,1.0,,,17.0
NJ,22.0,Nico Hischier,,,C,C,36.2,-18.8,196.0,49.0,50.5,-1.5,17.0
Dal,24.0,Roope Hintz,1.0,2.0,"C,LW",C,37.1,-17.9,197.0,50.0,48.0,2.0,17.0
Dal,24.0,Roope Hintz,1.0,2.0,"C,LW",LW,37.1,-16.6,197.0,62.0,59.5,2.5,17.0
Min,,Alex Stalock,,,G,G,24.0,-38.3,197.5,29.0,47.0,-18.0,17.0
Col,,Andre Burakovsky,1.0,1.0,"LW,RW",RW,38.3,-12.7,197.5,63.0,56.0,7.0,17.0
Col,,Andre Burakovsky,1.0,1.0,"LW,RW",LW,38.3,-15.4,197.5,63.0,54.0,9.0,17.0
TB,30.0,Tyler Johnson,2.0,2.0,"C,RW",,,,198.0,2.0,,,17.0
NYI,25.0,Ilya Sorokin,,,G,G,30.8,-31.5,200.0,30.0,42.0,-12.0,17.0
Dal,28.0,Tyler Seguin,,,"C,RW",RW,34.8,-16.2,200.5,64.0,75.0,-11.0,17.0
NYI,32.0,Semyon Varlamov,,,G,G,46.7,-15.6,200.5,31.0,26.0,5.0,17.0
Dal,28.0,Tyler Seguin,,,"C,RW",C,34.8,-20.3,200.5,51.0,58.0,-7.0,17.0
Van,28.0,Tanner Pearson,2.0,2.0,LW,,,,201.0,3.0,,,17.0
Chi,23.0,Dylan Strome,1.0,1.0,"C,RW",RW,35.3,-15.7,206.5,65.0,70.5,-5.5,18.0
Chi,23.0,Dylan Strome,1.0,1.0,"C,RW",C,35.3,-19.8,206.5,52.0,56.0,-4.0,18.0
Dal,36.0,Joe Pavelski,2.0,1.0,"C,RW",C,40.0,-15.1,207.0,53.5,40.0,13.5,18.0
Dal,36.0,Joe Pavelski,2.0,1.0,"C,RW",RW,40.0,-11.0,207.0,66.0,50.0,16.0,18.0
Car,27.0,Vincent Trocheck,2.0,1.0,C,C,36.3,-18.8,207.0,53.5,50.5,3.0,18.0
Min,35.0,Ryan Suter,1.0,2.0,D,D,35.0,-5.0,207.5,42.0,45.0,-3.0,18.0
Buf,36.0,Eric Staal,2.0,2.0,C,C,31.2,-23.9,208.5,55.0,62.0,-7.0,18.0
Phi,31.0,James van Riemsdyk,3.0,2.0,LW,LW,34.2,-19.5,210.5,64.0,72.0,-8.0,18.0
Mon,25.0,Jonathan Drouin,2.0,1.0,"C,LW",LW,33.2,-20.6,212.0,65.0,73.0,-8.0,18.0
Mon,25.0,Jonathan Drouin,2.0,1.0,"C,LW",C,33.2,-21.9,212.0,56.0,60.0,-4.0,18.0
Car,26.0,Jaccob Slavin,1.0,,D,D,32.7,-7.4,213.5,43.0,50.0,-7.0,18.0
Van,25.0,Thatcher Demko,,,G,G,35.8,-26.5,216.0,32.0,32.5,-0.5,19.0
Bos,34.0,David Krejci,2.0,1.0,C,C,35.9,-19.1,216.0,57.5,53.0,4.5,19.0
NYI,28.0,Jean-Gabriel Pageau,3.0,2.0,C,C,39.1,-16.0,216.0,57.5,44.0,13.5,19.0
Car,32.0,Jordan Staal,3.0,2.0,C,,,,217.5,4.0,,,19.0
Nsh,28.0,Mikael Granlund,2.0,2.0,"LW,RW",,,,220.0,5.0,,,19.0
Fla,32.0,Sergei Bobrovsky,,,G,G,50.5,-11.8,220.5,33.0,23.0,10.0,19.0
VGK,24.0,Alex Tuch,3.0,2.0,"LW,RW",RW,36.8,-14.2,220.5,67.0,62.0,5.0,19.0
Tor,31.0,Jake Muzzin,2.0,,D,D,36.4,-3.6,220.5,44.0,37.0,7.0,19.0
VGK,24.0,Alex Tuch,3.0,2.0,"LW,RW",LW,36.8,-17.0,220.5,66.0,63.0,3.0,19.0
Wpg,35.0,Paul Stastny,2.0,2.0,C,C,32.9,-22.2,220.5,59.0,61.0,-2.0,19.0
Dal,23.0,Denis Gurianov,1.0,1.0,"LW,RW",RW,36.4,-14.6,221.5,68.0,64.0,4.0,19.0
Dal,23.0,Denis Gurianov,1.0,1.0,"LW,RW",LW,36.4,-17.3,221.5,67.0,64.0,3.0,19.0
Mon,,Nick Suzuki,2.0,1.0,"C,RW",C,35.2,-19.9,223.0,60.0,57.0,3.0,19.0
Mon,,Nick Suzuki,2.0,1.0,"C,RW",RW,35.2,-15.8,223.0,69.0,72.0,-3.0,19.0
Cls,27.0,Boone Jenner,3.0,,"C,LW",,,,223.5,6.0,,,19.0
NYI,30.0,Jordan Eberle,1.0,1.0,RW,,,,226.0,7.0,,,19.0
Bos,28.0,Charlie Coyle,3.0,1.0,"C,RW",RW,34.1,-16.9,226.0,70.0,78.0,-8.0,19.0
Bos,28.0,Charlie Coyle,3.0,1.0,"C,RW",C,34.1,-21.0,226.0,61.0,59.0,2.0,19.0
NJ,28.0,Nikita Gusev,1.0,1.0,"LW,RW",RW,35.9,-15.2,228.5,71.0,67.0,4.0,20.0
NJ,28.0,Nikita Gusev,1.0,1.0,"LW,RW",LW,35.9,-17.9,228.5,68.0,67.0,1.0,20.0
Nsh,30.0,Mattias Ekholm,2.0,,D,D,33.6,-6.4,229.0,45.0,48.0,-3.0,20.0
Mon,27.0,Joel Armia,3.0,,RW,,,,230.0,8.0,,,20.0
TB,23.0,Erik Cernak,3.0,,D,D,34.1,-5.9,231.0,46.0,46.0,0.0,20.0
NYI,31.0,Josh Bailey,2.0,2.0,"LW,RW",RW,32.6,-18.4,234.0,72.0,79.0,-7.0,20.0
NYI,31.0,Josh Bailey,2.0,2.0,"LW,RW",LW,32.6,-21.1,234.0,69.0,74.0,-5.0,20.0
Min,28.0,Nick Bjugstad,1.0,2.0,"C,RW",,,,238.5,9.0,,,20.0
NYI,23.0,Anthony Beauvillier,2.0,2.0,LW,,,,239.0,10.0,,,20.0
Min,26.0,Matt Dumba,,,D,D,32.5,-7.6,239.0,47.0,51.0,-4.0,20.0
Fla,,Chris Driedger,,,G,G,35.4,-26.9,240.0,34.0,35.0,-1.0,21.0
Pit,24.0,Jared McCann,3.0,2.0,"C,LW",,,,241.5,11.5,,,21.0
Anh,30.0,Adam Henrique,1.0,1.0,"C,LW",,,,241.5,11.5,,,21.0
Ari,,Conor Garland,2.0,2.0,"LW,RW",,,,242.0,13.0,,,21.0
Anh,31.0,Kevin Shattenkirk,1.0,1.0,D,D,32.8,-7.3,242.0,48.0,49.0,-1.0,21.0
Van,29.0,Nate Schmidt,1.0,2.0,D,D,29.3,-10.8,242.5,49.0,65.0,-16.0,21.0
Col,28.0,Brandon Saad,2.0,,"LW,RW",RW,36.4,-14.7,243.0,73.0,65.0,8.0,21.0
Col,28.0,Brandon Saad,2.0,,"LW,RW",LW,36.4,-17.4,243.0,70.0,65.0,5.0,21.0
Chi,,Carl Soderberg,,,"C,LW",,,,243.0,14.0,,,21.0
TB,29.0,Yanni Gourde,3.0,2.0,"LW,RW",,,,245.0,15.0,,,21.0
Min,31.0,Jared Spurgeon,1.0,1.0,D,D,33.8,-6.2,246.5,50.0,47.0,3.0,21.0
SJ,25.0,Kevin Labanc,1.0,2.0,"LW,RW",LW,34.5,-19.3,246.5,71.0,70.0,1.0,21.0
SJ,25.0,Kevin Labanc,1.0,2.0,"LW,RW",RW,34.5,-16.5,246.5,74.0,76.0,-2.0,21.0
Fla,26.0,Frank Vatrano,2.0,,"LW,RW",,,,246.5,16.0,,,21.0
Car,32.0,James Reimer,,,G,G,35.7,-26.6,247.0,35.0,34.0,1.0,21.0
LA,,Calvin Petersen,,,G,G,32.6,-29.8,248.0,36.0,39.0,-3.0,21.0
VGK,,William Carrier,,,"LW,RW",,,,248.0,17.0,,,21.0
NYR,24.0,Alexandar Georgiev,,,G,G,23.2,-39.1,249.0,37.0,48.0,-11.0,21.0
VGK,33.0,Ryan Reaves,4.0,,RW,RW,31.7,-19.3,249.5,75.0,80.0,-5.0,21.0
Min,29.0,Marcus Foligno,3.0,,"LW,RW",,,,251.0,18.0,,,21.0
Bos,27.0,Matt Grzelcyk,2.0,1.0,D,D,37.8,-2.2,251.0,51.0,29.5,21.5,21.0
Edm,,Jesse Puljujarvi,3.0,2.0,RW,RW,35.2,-15.9,251.5,76.0,73.0,3.0,21.0
Bos,24.0,Jake DeBrusk,2.0,2.0,"LW,RW",RW,37.1,-13.9,252.0,77.0,61.0,16.0,22.0
Bos,24.0,Jake DeBrusk,2.0,2.0,"LW,RW",LW,37.1,-16.7,252.0,72.0,61.0,11.0,22.0
Mon,25.0,Artturi Lehkonen,,,"LW,RW",,,,255.0,19.0,,,22.0
Pit,24.0,Kasperi Kapanen,,,"LW,RW",RW,35.7,-15.3,256.0,78.0,68.0,10.0,22.0
Pit,24.0,Kasperi Kapanen,,,"LW,RW",LW,35.7,-18.0,256.0,73.0,68.0,5.0,22.0
Fla,25.0,Anthony Duclair,1.0,1.0,"LW,RW",LW,37.5,-16.2,257.0,74.0,58.0,16.0,22.0
Fla,25.0,Anthony Duclair,1.0,1.0,"LW,RW",RW,37.5,-13.5,257.0,79.0,60.0,19.0,22.0
Car,28.0,Nino Niederreiter,1.0,2.0,"LW,RW",,,,257.5,20.0,,,22.0
Anh,27.0,John Gibson,,,G,G,38.9,-23.4,258.5,38.0,30.0,8.0,22.0
Cgy,32.0,Milan Lucic,4.0,2.0,LW,,,,259.0,21.0,,,22.0
Van,34.0,Alexander Edler,1.0,2.0,D,D,36.0,-4.1,261.5,52.0,42.0,10.0,22.0
Tor,26.0,Ilya Mikheyev,3.0,,LW,,,,265.5,22.0,,,23.0
Dal,26.0,Esa Lindell,1.0,2.0,D,D,31.4,-8.6,268.0,53.0,54.0,-1.0,23.0
Anh,35.0,Ryan Getzlaf,2.0,2.0,C,,,,268.0,23.0,,,23.0
Van,31.0,Braden Holtby,,,G,G,40.2,-22.1,268.5,39.0,29.0,10.0,23.0
Ari,24.0,Nick Schmaltz,2.0,2.0,"C,RW",,,,269.0,24.0,,,23.0
Buf,27.0,Linus Ullmark,,,G,G,32.4,-29.9,270.0,40.0,40.5,-0.5,23.0
VGK,,Cody Glass,3.0,2.0,"C,RW",C,36.7,-18.4,271.5,62.0,49.0,13.0,23.0
VGK,,Cody Glass,3.0,2.0,"C,RW",RW,36.7,-14.3,271.5,80.0,63.0,17.0,23.0
Anh,30.0,Jakob Silfverberg,1.0,1.0,RW,,,,272.0,25.0,,,23.0
SJ,34.0,Devan Dubnyk,,,G,G,28.0,-34.3,274.5,41.0,46.0,-5.0,23.0
NJ,26.0,Andreas Johnsson,2.0,,"LW,RW",,,,276.0,26.0,,,24.0
Col,22.0,Samuel Girard,2.0,2.0,D,D,31.2,-8.8,276.0,54.0,56.0,-2.0,24.0
Cgy,24.0,Andrew Mangiapane,3.0,2.0,"LW,RW",,,,279.0,27.5,,,24.0
NJ,25.0,Miles Wood,3.0,2.0,LW,,,,279.0,27.5,,,24.0
Mon,29.0,Ben Chiarot,1.0,,D,D,30.4,-9.7,280.5,55.0,61.0,-6.0,24.0
Ari,,Derick Brassard,3.0,2.0,"C,RW",,,,281.5,29.0,,,24.0
Was,29.0,Dmitry Orlov,,,D,D,29.4,-10.7,282.0,56.0,64.0,-8.0,24.0
Ott,26.0,Connor Brown,2.0,,"LW,RW",,,,283.0,30.0,,,24.0
LA,27.0,Alex Iafallo,1.0,1.0,LW,,,,284.5,31.0,,,24.0
Col,25.0,Valeri Nichushkin,3.0,,"LW,RW",,,,285.5,32.0,,,24.0
Buf,35.0,Carter Hutton,,,G,G,17.2,-45.1,287.0,42.0,51.0,-9.0,24.0
Was,31.0,Lars Eller,3.0,2.0,C,,,,288.5,33.0,,,25.0
Edm,33.0,James Neal,,,"LW,RW",,,,289.0,34.0,,,25.0
Pit,29.0,Casey DeSmith,,,G,G,33.7,-28.6,289.5,43.0,37.0,6.0,25.0
Col,26.0,Devon Toews,1.0,2.0,D,D,30.9,-9.1,289.5,57.0,58.5,-1.5,25.0
TB,,Barclay Goodrow,3.0,,"C,LW",,,,290.5,35.0,,,25.0
Fla,,Owen Tippett,4.0,2.0,RW,,,,291.0,36.0,,,25.0
StL,24.0,Vince Dunn,3.0,2.0,D,D,30.9,-9.1,292.0,58.0,58.5,-0.5,25.0
Ari,22.0,Jakob Chychrun,2.0,2.0,D,D,31.6,-8.5,292.5,59.0,53.0,6.0,25.0
TB,37.0,Curtis McElhinney,,,G,,,,293.0,37.0,,,25.0
Chi,37.0,Duncan Keith,1.0,1.0,D,D,28.1,-11.9,295.5,60.5,66.0,-5.5,25.0
Wpg,,Josh Morrissey,1.0,2.0,D,D,31.3,-8.8,295.5,60.5,56.0,4.5,25.0
Ott,,Tim Stuetzle,2.0,2.0,LW,LW,27.5,-26.2,296.0,75.0,75.0,0.0,25.0
Nsh,29.0,Erik Haula,2.0,,"C,LW",,,,297.0,38.0,,,25.0
Det,34.0,Thomas Greiss,,,G,G,23.0,-39.3,297.5,44.0,49.0,-5.0,25.0
Det,28.0,Vladislav Namestnikov,3.0,2.0,"LW,RW",,,,297.5,39.0,,,25.0
Car,,Jesper Fast,2.0,,RW,,,,298.0,40.0,,,25.0
LA,,Gabriel Vilardi,3.0,2.0,C,,,,299.0,41.0,,,25.0
Chi,25.0,Nikita Zadorov,2.0,,D,D,30.4,-9.6,303.0,62.0,60.0,2.0,26.0
Ari,24.0,Christian Dvorak,1.0,1.0,"C,LW",,,,304.5,42.0,,,26.0
LA,,Matt Roy,2.0,,D,,,,305.0,43.0,,,26.0
Van,24.0,Jake Virtanen,3.0,2.0,RW,,,,307.5,44.0,,,26.0
Bos,24.0,Brandon Carlo,2.0,,D,D,31.3,-8.8,308.0,63.0,56.0,7.0,26.0
Chi,,Calvin de Haan,3.0,,D,,,,308.5,45.5,,,26.0
Ott,26.0,Alex Galchenyuk,3.0,2.0,"C,LW",,,,308.5,45.5,,,26.0
Van,30.0,Tyler Myers,3.0,,D,,,,312.0,47.0,,,27.0
Ari,31.0,Antti Raanta,,,G,G,33.6,-28.7,312.0,45.0,38.0,7.0,27.0
Car,,Martin Necas,3.0,2.0,"C,RW",,,,314.5,48.0,,,27.0
Was,29.0,Garnet Hathaway,4.0,,RW,,,,316.5,49.0,,,27.0
Bos,29.0,Chris Wagner,4.0,,"LW,RW",,,,318.0,50.0,,,27.0
Nsh,,Calle Jarnkrok,3.0,2.0,"LW,RW",,,,318.5,52.0,,,27.0
LA,24.0,Adrian Kempe,3.0,1.0,"C,LW",,,,318.5,52.0,,,27.0
Phi,26.0,Scott Laughton,4.0,,"C,LW",,,,318.5,52.0,,,27.0
Chi,29.0,Andrew Shaw,2.0,2.0,"C,RW",,,,319.0,54.0,,,27.0
LA,34.0,Jonathan Quick,,,G,G,38.9,-23.5,319.5,46.0,31.0,15.0,27.0
Ott,30.0,Derek Stepan,2.0,2.0,C,,,,322.0,55.0,,,27.0
Ari,35.0,Alex Goligoski,2.0,2.0,D,,,,322.5,56.0,,,27.0
Car,28.0,Ryan Dzingel,4.0,2.0,"LW,RW",,,,323.0,57.0,,,27.0
Fla,30.0,Radko Gudas,,,D,,,,323.5,58.0,,,27.0
Tor,28.0,Jack Campbell,,,G,G,28.1,-34.2,324.0,47.0,45.0,2.0,28.0
Pit,,John Marino,2.0,2.0,D,D,26.3,-13.8,325.5,64.0,67.0,-3.0,28.0
Ott,26.0,Matt Murray,,,G,G,28.6,-33.7,328.5,48.0,44.0,4.0,28.0
Phi,28.0,Erik Gustafsson,3.0,2.0,D,D,31.9,-8.2,328.5,65.0,52.0,13.0,28.0
NYI,33.0,Leo Komarov,,,"C,RW",,,,329.0,59.0,,,28.0
Fla,28.0,Brett Connolly,4.0,2.0,"LW,RW",,,,332.5,60.0,,,28.0
Was,,Richard Panik,3.0,,"LW,RW",,,,334.5,61.0,,,28.0
Edm,29.0,Zack Kassian,1.0,,RW,,,,340.0,62.0,,,29.0
Nsh,23.0,Luke Kunin,3.0,2.0,"C,RW",,,,340.5,63.0,,,29.0
Fla,29.0,Noel Acciari,3.0,,"C,RW",,,,343.5,64.0,,,29.0
Cgy,28.0,David Rittich,,,G,G,20.8,-41.6,344.5,49.0,50.0,-1.0,29.0
Min,23.0,Joel Eriksson Ek,3.0,,C,,,,345.0,65.0,,,29.0
Min,,Kaapo Kahkonen,,,G,,,,345.5,66.0,,,29.0
Mon,,Cayden Primeau,,,G,,,,347.5,67.0,,,29.0
Was,30.0,Brenden Dillon,2.0,,D,,,,348.5,68.0,,,30.0
StL,28.0,Justin Faulk,2.0,,D,D,29.7,-10.4,350.0,66.0,62.0,4.0,30.0
Phi,35.0,Brian Elliott,,,G,,,,356.0,69.5,,,30.0
StL,,Zach Sanford,3.0,,LW,,,,356.0,69.5,,,30.0
Min,32.0,Nick Bonino,2.0,2.0,C,,,,357.5,71.5,,,30.0
Mon,,Jesperi Kotkaniemi,3.0,2.0,C,,,,357.5,71.5,,,30.0
TB,,Pat Maroon,,,"LW,RW",,,,359.0,73.0,,,30.0
Wpg,,Jack Roslovic,,,"C,RW",,,,364.5,74.5,,,31.0
Ari,,Adin Hill,,,G,,,,364.5,74.5,,,31.0
Chi,27.0,Connor Murphy,1.0,,D,,,,365.5,76.5,,,31.0
Cls,30.0,David Savard,2.0,,D,,,,365.5,76.5,,,31.0
Edm,,Tyler Ennis,3.0,,"LW,RW",,,,366.0,78.0,,,31.0
Nsh,38.0,Pekka Rinne,,,G,G,33.9,-28.4,374.0,50.0,36.0,14.0,32.0
Phi,24.0,Oskar Lindblom,1.0,,LW,,,,404.0,79.0,,,34.0
Cls,,Matiss Kivlenieks,,,G,,,,415.0,80.0,,,35.0
StL,,Robert Thomas,2.0,2.0,"C,RW",RW,28.7,-22.3,416.0,81.0,81.0,0.0,35.0
StL,,Robert Thomas,2.0,2.0,"C,RW",C,28.7,-26.4,416.0,63.0,63.0,0.0,35.0
Pit,24.0,Marcus Pettersson,2.0,2.0,D,,,,417.5,81.0,,,35.0
Van,,Michael DiPietro,,,G,,,,420.0,82.0,,,36.0
Nsh,,Nick Cousins,4.0,,"LW,RW",,,,427.0,83.0,,,36.0
Buf,,Jonas Johansson,,,G,,,,428.0,84.0,,,36.0
Buf,26.0,Brandon Montour,2.0,,D,,,,432.0,85.5,,,37.0
Cgy,34.0,Derek Ryan,4.0,,C,,,,432.0,85.5,,,37.0
Tor,,Aaron Dell,,,G,,,,437.0,87.0,,,37.0
Wpg,26.0,Andrew Copp,3.0,,"C,LW",,,,438.0,88.0,,,37.0
VGK,,Oscar Dansk,,,G,,,,439.5,89.0,,,37.0
Ari,29.0,Tyler Pitlick,,,"LW,RW",,,,442.0,90.0,,,37.0
Col,,Adam Werner,,,G,,,,447.0,91.0,,,38.0
NJ,,Gilles Senn,,,G,,,,456.5,92.0,,,39.0
Car,,Alex Nedeljkovic,,,G,,,,457.0,93.0,,,39.0
Edm,38.0,Mike Smith,,,G,,,,461.0,94.0,,,39.0
Wpg,,Eric Comrie,,,G,,,,461.5,95.0,,,39.0
Anh,,Ryan Miller,,,G,,,,462.0,96.0,,,39.0
Pit,29.0,Brian Dumoulin,1.0,,D,,,,473.0,97.0,,,40.0
TB,31.0,Ryan McDonagh,2.0,,D,D,29.5,-10.6,474.0,67.0,63.0,4.0,40.0
Phi,,Alex Lyon,,,G,,,,475.0,98.5,,,40.0
NYI,34.0,Cory Schneider,,,G,,,,475.0,98.5,,,40.0
Anh,,Anthony Stolarz,,,G,,,,476.0,100.0,,,40.0
StL,,Sammy Blais,,,"LW,RW",,,,486.5,101.0,,,41.0
Car,,Antoine Bibeau,,,G,,,,503.5,102.0,,,42.0
Det,32.0,Jonathan Bernier,,,G,,,,522.0,103.0,,,44.0
Fla,,Sam Montembeault,,,G,,,,524.5,104.0,,,44.0
SJ,30.0,Martin Jones,,,G,G,35.9,-26.5,524.5,51.0,32.5,18.5,44.0
Det,,Bobby Ryan,2.0,1.0,"LW,RW",,,,527.0,105.0,,,44.0
Wpg,27.0,Laurent Brossoit,,,G,,,,534.5,106.0,,,45.0
Cgy,,Louis Domingue,,,G,,,,576.0,107.0,,,49.0
Buf,,Dylan Cozens,,,C,,,,760.0,108.0,,,64.0
