Games Started,FALSE,,2021-22 Fantasy Hockey Customizable Rankings,,,,,,,,,,,,,,,,,,,,,
Wins,TRUE,,,,,,,,,,,,,,,,,,,,,,,
Losses,FALSE,,Starting Goalies,,,,,,https://www.dailyfaceoff.com/starting-goalies/,,,,,,,,,,,,,,,
OTL,FALSE,,Projected Lines,,,,,,https://www.dailyfaceoff.com/teams/,,,,,,,,,,,,,,,
SO,TRUE,,Player News,,,,,,https://www.dailyfaceoff.com/hockey-player-news/,,,,,,,,,,,,,,,
SVS,FALSE,,DFO Podcast,,,,,,https://soundcloud.com/dailyfaceoff-podcast,,,,,,,,,,,,,,,
GA,FALSE,,,Twitter,,,,,https://twitter.com/DailyFaceoff,,,,,,,,,,,,,,,
SA,FALSE,,Step 1:,File > Make a Copy,,,,,,,,,,,,,,,,,,,,
SV%,TRUE,,Step 2:,Check off all scoring categories for your league,,,,,,,,,,,,,,,,,,,,
GAA,TRUE,,Step 3:,Check off which site you use for correct Position Eligibility,,,,,,,,,,,,,,,,,,,,
,,,Step 4:,"Sort by ""SCORE"" for rankings customized to your league settings",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Players,TEAM,POS.,AGE,GS,W,L,OTL,SO,SV,GA,SA,SV%,GAA,GS,W,L,OTL,SO,SV,GA,SA,SV%,GAA,Score
Connor Hellebuyck,WPG,G,28.0,63.0,33.3,22.2,7.5,5.1,1750.2,158.0,1908.1,0.917,2.51,,2.069,,,2.043,,,,1.126,0.780,6.018
Andrei Vasilevksiy,TBL,G,27.0,59.8,38.3,15.9,5.6,5.4,1569.0,137.0,1706.0,0.920,2.29,,2.859,,,2.294,,,,1.641,1.773,8.567
Jacob Markstrom,CGY,G,32.0,58.6,30.1,22.2,6.4,3.2,1593.0,155.4,1748.4,0.911,2.65,,1.564,,,0.448,,,,0.095,0.149,2.256
Robin Lehner,VGK,G,30.0,56.5,33.2,16.6,6.7,4.9,1441.2,128.5,1569.7,0.918,2.27,,2.053,,,1.875,,,,1.297,1.864,7.089
John Gibson,ANA,G,28.0,56.1,20.8,28.7,6.7,3.0,1545.4,152.3,1697.7,0.910,2.71,,0.096,,,0.280,,,,-0.077,-0.122,0.177
Jordan Binnington,STL,G,28.0,55.5,28.6,20.1,6.8,4.0,1502.2,143.5,1645.7,0.913,2.59,,1.327,,,1.119,,,,0.439,0.419,3.305
Juuse Saros,NSH,G,26.0,55.2,25.8,23.0,6.5,5.5,1558.1,138.1,1696.2,0.919,2.50,,0.885,,,2.378,,,,1.469,0.826,5.558
Matt Murray,OTT,G,27.0,52.1,20.6,25.3,6.2,2.3,1478.6,155.6,1634.2,0.905,2.99,,0.064,,,-0.307,,,,-0.935,-1.386,-2.564
Marc-Andre Fleury,CHI,G,37.0,51.9,26.1,19.9,6.0,4.8,1522.9,138.6,1661.5,0.917,2.67,,0.933,,,1.791,,,,1.126,0.058,3.907
Igor Shesterkin,NYR,G,26.0,51.6,27.5,17.8,6.3,3.2,1402.2,126.9,1529.1,0.917,2.46,,1.154,,,0.448,,,,1.126,1.006,3.733
Thatcher Demko,VAN,G,26.0,51.6,24.6,20.7,6.3,2.7,1525.2,145.8,1670.9,0.913,2.82,,0.696,,,0.028,,,,0.439,-0.619,0.544
Carter Hart,PHI,G,23.0,51.0,26.9,19.7,4.5,2.1,1346.4,141.4,1487.7,0.905,2.77,,1.059,,,-0.475,,,,-0.935,-0.393,-0.744
Darcy Kuemper,COL,G,31.0,50.0,31.5,12.5,6.0,4.3,1325.1,117.0,1442.0,0.919,2.34,,1.785,,,1.371,,,,1.469,1.548,6.173
Linus Ullmark,BOS,G,28.0,49.6,27.8,16.5,5.4,3.5,1299.8,121.8,1421.6,0.914,2.46,,1.201,,,0.700,,,,0.610,1.006,3.517
Mike Smith,EDM,G,39.0,48.8,27.0,16.0,5.8,3.3,1367.8,132.4,1500.2,0.912,2.71,,1.075,,,0.532,,,,0.267,-0.122,1.751
Tristan Jarry,PIT,G,26.0,48.4,25.8,16.9,5.7,3.3,1316.2,125.4,1441.5,0.913,2.59,,0.885,,,0.532,,,,0.439,0.419,2.275
Cam Talbot,MIN,G,34.0,48.2,26.6,16.0,5.7,3.8,1320.7,122.6,1443.3,0.915,2.55,,1.012,,,0.952,,,,0.782,0.600,3.345
Carey Price,MTL,G,34.0,47.3,23.0,18.5,5.9,3.3,1225.6,122.2,1347.7,0.909,2.58,,0.443,,,0.532,,,,-0.248,0.464,1.191
Philipp Grubauer,SEA,G,30.0,46.9,24.5,16.7,5.7,4.2,1297.6,116.3,1413.9,0.918,2.48,,0.680,,,1.287,,,,1.297,0.916,4.180
Frederik Andersen,CAR,G,32.0,46.7,24.8,16.2,5.7,2.6,1199.2,118.6,1317.7,0.910,2.54,,0.727,,,-0.056,,,,-0.077,0.645,1.240
Carter Hutton,ARI,G,36.0,45.5,16.1,24.2,5.3,2.0,1261.6,136.0,1397.6,0.903,2.99,,-0.646,,,-0.559,,,,-1.279,-1.386,-3.870
Cal Petersen,LAK,G,27.0,45.1,20.3,19.3,5.5,2.0,1256.0,119.1,1375.1,0.913,2.64,,0.017,,,-0.559,,,,0.439,0.194,0.090
Alex Nedeljkovic,DET,G,26.0,44.3,19.0,20.3,5.1,4.1,1291.2,117.2,1408.4,0.917,2.64,,-0.188,,,1.203,,,,1.126,0.194,2.334
Semyon Varlamov,NYI,G,33.0,44.0,23.6,14.4,6.1,3.6,1154.0,103.7,1257.7,0.918,2.36,,0.538,,,0.784,,,,1.297,1.457,4.076
Craig Anderson,BUF,G,40.0,43.5,16.5,21.9,5.1,1.7,1284.4,135.9,1420.3,0.904,3.13,,-0.583,,,-0.811,,,,-1.107,-2.018,-4.518
Elvis Merzlikins,CBJ,G,27.0,43.1,18.6,19.6,4.9,4.4,1231.3,111.2,1342.5,0.917,2.58,,-0.251,,,1.455,,,,1.126,0.464,2.794
Ilya Samsonov,WSH,G,24.0,42.5,22.0,15.6,4.9,3.1,1116.0,112.7,1228.6,0.908,2.65,,0.285,,,0.364,,,,-0.420,0.149,0.378
Adin Hill,SJS,G,25.0,42.5,19.1,18.2,5.2,3.0,1207.3,119.8,1327.0,0.910,2.82,,-0.172,,,0.280,,,,-0.077,-0.619,-0.588
Mackenzie Blackwood,NJD,G,25.0,42.5,20.5,16.9,5.1,2.4,1182.3,117.2,1299.5,0.910,2.76,,0.049,,,-0.223,,,,-0.077,-0.348,-0.599
Sergei Bobrovsky,FLA,G,33.0,42.2,23.0,14.1,5.1,1.8,1156.9,119.3,1276.1,0.907,2.83,,0.443,,,-0.727,,,,-0.592,-0.664,-1.539
Jack Campbell,TOR,G,30.0,42.0,25.3,11.9,4.9,3.3,1083.6,100.6,1184.2,0.915,2.40,,0.806,,,0.532,,,,0.782,1.277,3.397
Petr Mrazek,TOR,G,29.0,40.0,24.6,10.8,4.7,3.7,1029.4,99.3,1128.6,0.912,2.48,,0.696,,,0.868,,,,0.267,0.916,2.746
Spencer Knight,FLA,G,20.0,39.8,22.4,12.5,5.0,2.9,1103.7,104.7,1208.4,0.913,2.63,,0.349,,,0.196,,,,0.439,0.239,1.222
Vitek Vanecek,WSH,G,26.0,39.5,20.4,14.5,4.6,2.6,1037.3,104.9,1142.2,0.908,2.66,,0.033,,,-0.056,,,,-0.420,0.103,-0.339
Jonathan Bernier,NJD,G,33.0,39.5,19.5,15.5,4.6,2.1,1098.5,108.0,1206.5,0.910,2.73,,-0.109,,,-0.475,,,,-0.077,-0.212,-0.874
James Reimer,SJS,G,33.0,39.5,17.8,16.9,4.8,2.3,1124.1,113.5,1237.5,0.908,2.87,,-0.378,,,-0.307,,,,-0.420,-0.844,-1.949
Joonas Korpisalo,CBJ,G,27.0,39.0,15.8,18.8,4.4,1.4,1069.7,115.2,1184.8,0.903,2.96,,-0.693,,,-1.063,,,,-1.279,-1.250,-4.285
Aaron Dell,BUF,G,32.0,38.6,13.7,20.2,4.7,1.6,1071.1,119.3,1190.4,0.900,3.09,,-1.025,,,-0.895,,,,-1.794,-1.837,-5.551
Ilya Sorokin,NYI,G,26.0,38.0,20.1,13.1,4.8,3.3,992.2,93.6,1085.7,0.914,2.46,,-0.015,,,0.532,,,,0.610,1.006,2.134
Thomas Greiss,DET,G,36.0,37.7,15.6,17.7,4.4,2.1,1087.3,105.2,1192.6,0.912,2.79,,-0.725,,,-0.475,,,,0.267,-0.483,-1.416
Jonathan Quick,LAK,G,36.0,37.0,16.1,16.3,4.5,2.1,1021.6,106.2,1127.8,0.906,2.87,,-0.646,,,-0.475,,,,-0.764,-0.844,-2.729
Josef Korenar,ARI,G,24.0,36.5,13.7,19.8,3.0,1.0,1012.0,111.0,1123.0,0.901,3.04,,-1.025,,,-1.398,,,,-1.622,-1.611,-5.657
Anton Khudobin,DAL,G,35.0,36.1,19.1,12.6,4.4,2.7,953.9,88.4,1042.3,0.915,2.45,,-0.172,,,0.028,,,,0.782,1.051,1.689
Antti Raanta,CAR,G,32.0,35.3,19.4,12.0,4.0,2.1,910.1,87.7,997.7,0.912,2.48,,-0.125,,,-0.475,,,,0.267,0.916,0.582
Chris Driedger,SEA,G,27.0,35.2,18.2,12.6,4.4,3.5,971.4,86.8,1058.2,0.918,2.47,,-0.315,,,0.700,,,,1.297,0.961,2.643
Jake Allen,MTL,G,31.0,34.7,17.2,13.4,4.2,1.8,897.0,88.5,985.5,0.910,2.55,,-0.472,,,-0.727,,,,-0.077,0.600,-0.676
Kaapo Kahkonen,MIN,G,25.0,33.9,18.1,11.9,3.9,2.2,918.0,96.2,1014.2,0.905,2.84,,-0.330,,,-0.391,,,,-0.935,-0.709,-2.366
Casey DeSmith,PIT,G,30.0,33.7,18.1,11.3,3.9,2.7,916.0,87.1,1003.0,0.913,2.59,,-0.330,,,0.028,,,,0.439,0.419,0.556
Mikko Koskinen,EDM,G,33.0,33.2,17.6,11.4,4.2,1.8,930.8,93.5,1024.3,0.909,2.82,,-0.409,,,-0.727,,,,-0.248,-0.619,-2.003
Jeremy Swayman,BOS,G,23.0,32.4,18.9,9.4,4.2,3.8,850.9,77.8,928.7,0.916,2.40,,-0.204,,,0.952,,,,0.954,1.277,2.978
Braden Holtby,DAL,G,32.0,32.1,15.3,12.1,4.8,1.8,843.7,86.1,929.8,0.907,2.69,,-0.772,,,-0.727,,,,-0.592,-0.032,-2.123
Pavel Francouz,COL,G,30.0,32.0,19.9,8.2,4.0,1.9,835.3,77.2,912.5,0.915,2.41,,-0.046,,,-0.643,,,,0.782,1.232,1.325
Martin Jones,PHI,G,32.0,31.0,14.5,11.5,5.0,1.7,814.1,90.5,904.5,0.900,2.92,,-0.899,,,-0.811,,,,-1.794,-1.070,-4.573
Alexandar Georgiev,NYR,G,25.0,30.4,15.6,11.1,3.7,2.2,817.9,81.8,899.7,0.909,2.69,,-0.725,,,-0.391,,,,-0.248,-0.032,-1.396
Jaroslav Halak,VAN,G,36.0,30.4,14.3,12.5,3.6,1.8,895.2,88.3,983.6,0.910,2.90,,-0.930,,,-0.727,,,,-0.077,-0.980,-2.713
Kevin Lankinen,CHI,G,26.0,30.1,14.6,12.0,3.6,1.8,875.1,86.6,961.7,0.910,2.88,,-0.883,,,-0.727,,,,-0.077,-0.889,-2.576
Anton Forsberg,OTT,G,29.0,29.9,11.9,14.7,3.3,0.5,853.2,87.8,941.0,0.907,2.93,,-1.309,,,-1.818,,,,-0.592,-1.115,-4.834
David Rittich,NSH,G,29.0,26.9,12.1,11.7,3.1,1.0,750.4,76.8,827.2,0.907,2.86,,-1.277,,,-1.398,,,,-0.592,-0.799,-4.067
Ville Husso,STL,G,26.0,26.5,13.0,10.3,3.3,1.7,707.8,76.4,784.1,0.903,2.88,,-1.135,,,-0.811,,,,-1.279,-0.889,-4.114
Anthony Stolarz,ANA,G,28.0,25.9,10.2,12.9,2.9,2.3,713.9,69.1,783.0,0.912,2.67,,-1.577,,,-0.307,,,,0.267,0.058,-1.560
Laurent Brossoit,VGK,G,28.0,25.5,14.8,7.7,3.0,1.5,646.7,63.0,709.6,0.911,2.47,,-0.851,,,-0.979,,,,0.095,0.961,-0.774
Daniel Vladar,CGY,G,24.0,23.4,11.3,10.0,2.1,1.4,597.4,63.6,660.9,0.904,2.72,,-1.404,,,-1.063,,,,-1.107,-0.167,-3.741
Brian Elliott,TBL,G,36.0,22.3,11.8,7.7,2.9,1.1,582.7,62.7,645.4,0.903,2.82,,-1.325,,,-1.314,,,,-1.279,-0.619,-4.537
Eric Comrie,WPG,G,26.0,19.0,9.1,7.5,2.4,0.5,511.4,64.6,576.0,0.888,3.40,,-1.751,,,-1.818,,,,-3.855,-3.236,-10.660
Jake Oettinger,DAL,G,23.0,13.9,7.0,5.4,1.4,0.5,384.5,37.4,421.9,0.911,2.69,,-2.083,,,-1.818,,,,0.095,-0.032,-3.837
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,40.4,20.2,15.4,4.8,2.7,1102.1,107.5,1209.6,0.910,2.7,,,,,,,,,,,
,,,,10.5,6.3,4.7,1.2,1.2,292.7,26.3,318.2,0.006,0.2,,,,,,,,,,,